検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
不動産担保ローン,2.906,0.017,5.871,390,13921,10723,2826,13,328,1724,4176,4785,2153,579
おまとめローン おすすめ,2.899,2.141,9.88,161,5787,3508,2114,4,665,1628,1966,1231,195,31
私立高校 就学支援金,2.898,-1.929,6.283,447,16088,3872,11532,93,39,1058,9731,4493,264,150
学生会館,2.898,13.175,10.362,132,4749,1568,2892,150,279,219,1684,1981,226,73
jaローン,2.895,0.434,7.979,125,4512,2834,1491,10,257,907,1655,1212,316,83
大学生 一人暮らし,2.882,43.49,6.649,319,11658,3274,7329,749,731,255,4315,4709,264,98
大学入学式 スーツ 女子,2.881,88.568,5.701,330,12076,2111,9105,468,96,110,5085,5587,215,121
法政大学 学費,2.88,1.944,10.745,174,6374,2086,3875,209,225,219,2486,2728,191,128
大学 授業料,2.869,0.03,11.886,113,4184,1884,2086,78,182,533,1919,1180,157,51
大学生 仕送り額 平均,2.853,1.501,7.572,323,12150,3773,7541,246,798,390,4958,4925,290,135
日本学生支援機構,2.852,-0.009,3.032,1814,68362,30685,34490,1102,9594,14575,18154,18364,4345,1002
借り換え カードローン,2.846,8.02,10.42,125,4739,2932,1664,3,359,1374,1690,1039,190,41
明治大学 学費,2.842,-0.013,8.135,249,9472,3140,5697,323,387,409,3518,3968,356,207
青山学院大学 学費,2.829,1.235,10.379,150,5781,2047,3357,218,195,303,2213,2278,222,146
高校就学支援金,2.819,35.415,9.956,152,5916,1668,3927,33,41,450,3554,1586,83,41
中京大学 学費,2.819,2.647,15.32,96,3739,1216,2269,155,156,109,1641,1414,73,62
大学 入学式 服装 男性,2.817,75.266,8.762,119,4642,1477,2896,98,52,53,2194,2022,87,31
スカラネット入力 ログイン,2.807,16.791,5.08,829,32678,12399,18658,1151,6120,5016,8806,9312,1349,287
仕送り 大学生,2.806,6.894,11.591,117,4613,1623,2670,149,359,115,1878,1817,101,48
おまとめローン,2.8,0.032,5.301,525,20843,13336,6870,22,2177,6364,7300,3845,684,194
jasso 給付型奨学金,2.78,3.247,13.384,93,3764,922,2629,108,267,124,1403,1520,205,65
大学生 リュック 男子,2.776,108.744,10.49,129,5243,1571,3322,163,267,111,2211,2199,81,36
ナジック学生マンション,2.77,38.475,9.465,184,7522,2655,4411,239,695,277,2231,3455,346,67
立命館大学 学費,2.766,-0.251,8.017,245,10060,3477,5898,317,271,334,4028,4110,388,282
入学式 スーツ 大学生,2.764,90.834,7.1,202,8308,2084,5711,549,124,56,3027,4143,140,79
銀行ローン,2.761,0.001,9.31,141,5820,3394,2175,13,611,1198,1870,1393,484,136
専門学校 落ちる確率,2.76,2.498,8.613,205,8468,2123,5333,1191,645,409,3167,2300,135,83
高校 就学支援金,2.757,-1.13,9.624,204,8449,1831,6255,57,36,1069,5218,1805,107,54
近畿大学 学費,2.755,-0.006,8.234,248,10290,3386,6184,392,307,349,4263,4065,352,203
メガスタ 料金,2.746,-6.356,11.93,117,4900,966,3661,84,64,223,2497,1807,88,38
学生支援機構,2.735,0.0,12.856,94,3981,2235,1596,29,391,694,1005,1202,505,101
共通テスト 申し込み,2.726,-50.655,6.235,286,12227,3614,7754,450,852,351,4087,5617,356,120
日本政策金融公庫,2.718,0.032,1.949,3029,130457,87500,38617,302,5765,20598,41716,40118,15241,5002
立教大学 学費,2.713,0.178,13.036,105,4547,1501,2755,183,135,176,1714,1907,176,104
大学受験 塾 費用,2.71,-1.908,13.444,99,4297,1087,2931,104,68,307,2420,1191,62,37
関西学院大学 学費,2.707,-2.572,10.182,138,6012,2026,3533,226,173,196,2398,2426,203,142
日本奨学金支援機構,2.703,0.942,7.722,299,13079,3908,8424,299,2927,3078,2984,3023,407,76
関西大学 学費,2.702,4.254,8.628,210,9192,3020,5522,284,256,362,3846,3550,315,218
奨学金とは,2.701,0.001,8.305,142,6219,2388,3249,431,623,906,2458,1229,159,71
専修学校 専門学校 違い,2.697,0.709,13.275,85,3738,1538,2008,75,379,603,1288,962,297,57
名城大学 学費,2.695,0.004,11.025,125,5510,1906,3211,221,225,182,2403,2036,124,88
国民生活金融公庫,2.694,0.002,7.38,211,9309,6601,2414,18,140,690,3084,3468,1364,415
大学 学費,2.691,-3.494,5.358,473,20923,7758,12095,532,936,3971,10769,3808,299,159
福岡大学 入試,2.688,1.144,8.729,144,6389,2597,3258,457,222,202,1987,2708,347,196
学生 クレジットカード,2.685,49.468,12.218,138,6143,2612,3183,256,1007,155,1734,2672,155,45
日本政策金融公庫 支店,2.68,7.778,9.885,130,5815,3944,1649,8,138,383,1208,1938,1624,401
大学 入学式 親,2.68,88.59,9.338,129,5773,1161,4250,334,85,210,2969,1967,52,17
総合型選抜 受かる人,2.68,4.11,13.008,92,4115,794,2868,541,85,48,1513,1638,53,22
銀行カードローン,2.677,1.445,8.19,213,9554,5400,3754,15,970,2121,2986,2283,776,200
在学証明書とは,2.677,40.347,15.508,95,4262,1114,2779,182,430,325,1910,1145,76,21
大学無償化,2.665,0.011,10.308,132,5994,2071,3655,87,218,845,2890,1609,208,49
社会福祉協議会 貸付制度,2.662,3.154,8.811,165,7515,3238,3945,27,358,1299,2442,2155,791,315
国公立大学 出願状況,2.662,28.403,7.992,137,6240,2677,3135,255,163,134,1943,2930,440,155
神奈川大学 給費生試験,2.657,-3.562,10.26,118,5402,1940,3044,480,258,212,1649,2295,204,88
私立大学 学費,2.656,-0.029,4.787,613,28105,9985,16285,827,1050,3376,13956,6669,801,530
日本公庫,2.654,2.664,7.974,159,7301,4887,2206,28,305,1014,2472,2249,853,302
国公立大 学費,2.654,-1.421,11.29,116,5326,1491,3419,199,188,465,2671,1442,102,49
共通テスト利用 私立,2.652,4.383,7.768,206,9475,2515,6160,745,190,101,3238,4476,223,105
大学生 一人暮らし 費用,2.645,9.583,13.122,84,3891,1108,2343,487,737,170,1281,946,44,12
南山大学 学費,2.641,-0.01,13.897,86,4001,1264,2477,134,146,129,1763,1491,109,100
駿台予備校 学費,2.634,10.62,11.639,94,4404,1373,2743,101,65,76,1761,2046,162,81
共通テスト ボーダー,2.631,15.253,3.714,805,37830,14969,19953,2002,1049,584,13173,17847,1240,453
日本大学 入試要項 2023,2.621,31.52,9.618,105,4984,1902,2741,372,121,70,1452,2437,255,117
就学支援金制度,2.62,-0.002,3.816,1170,55563,16914,35971,386,949,8655,28978,13428,1592,545
共通テスト 判定,2.62,33.961,10.532,81,3849,1418,1994,775,318,69,1124,1233,48,45
大学 入学式 服装 女子,2.613,98.125,7.173,187,8945,1662,6683,620,116,169,4160,3470,136,40
就学支援金制度 高校 年収,2.608,-1.467,8.137,278,13361,3309,9402,110,70,835,7777,4008,219,117
ユニライフ,2.606,22.698,8.037,237,11414,5079,5545,522,1422,636,3219,4501,616,162
浪人 成功率,2.599,51.471,11.372,116,5629,1714,3343,574,254,104,1918,2351,97,45
金融公庫,2.598,-0.002,7.222,231,11215,7085,3738,25,351,2002,4147,3194,984,356
同志社大学 学費,2.595,1.162,9.863,189,9209,3196,5346,297,320,341,3693,3637,346,237
東洋大学 入試要項 2023,2.586,34.25,8.66,168,8261,2606,5020,786,219,98,2417,3942,292,167
返済シュミレーション 計算,2.586,39.436,11.95,83,4079,2725,1257,8,209,673,1230,1256,542,123
大学院 奨学金,2.585,-0.013,14.609,86,4232,1482,2535,38,892,200,895,1859,209,49
学費,2.585,1.184,12.525,83,4082,1740,2089,92,224,720,1486,1007,299,144
バンザイシステム2023,2.582,25.839,8.658,78,3848,1836,1723,324,161,75,1063,1835,227,42
早稲田大学 学費,2.581,0.013,7.706,254,12551,4724,6990,359,420,687,4694,4975,592,387
駒澤大学 入試要項 2023,2.58,4.854,11.361,78,3856,1298,2252,325,108,45,1133,1800,164,117
高校入学 費用,2.577,-6.65,11.066,107,5307,1618,3438,36,105,1624,2731,577,66,73
奨学金 返済免除,2.576,0.003,6.391,384,19057,7754,10369,224,2561,4009,4848,5099,1572,361
児童手当 高校卒業まで,2.576,110.063,11.204,127,6307,1576,4454,30,60,969,3494,1521,91,44
福岡大学 合格発表,2.573,32.946,11.647,82,4083,1636,2102,306,181,107,1236,1680,237,140
大学費用いくら必要,2.571,-0.005,7.555,251,12528,3777,8065,79,371,2968,6546,1971,218,105
十八歳 何年生まれ,2.57,64.691,12.443,94,4697,2463,1955,116,413,705,1769,1322,175,60
高校生等奨学給付金,2.569,1.427,13.115,91,4548,924,3408,28,41,572,2624,1058,104,50
龍谷大学 公募推薦,2.567,-31.716,9.725,97,4861,1550,2794,581,198,79,1462,2035,113,96
奨学金 返済期間,2.557,0.038,9.266,142,7187,3331,3547,108,963,2363,1720,1323,470,104
東京理科大学 学費,2.557,6.118,11.35,130,6575,2392,3741,145,178,157,2319,2969,368,213
就学支援金,2.553,-0.099,10.605,130,6603,2346,3984,64,124,745,3635,1727,160,65
指定校推薦 落ちた,2.552,-27.759,10.866,82,4170,1039,2588,829,197,123,1378,1260,71,21
カードローン,2.551,0.983,3.318,1298,66090,39564,23884,108,6595,15217,18557,16243,6184,1915
住宅ローン借り換え,2.547,0.318,10.208,180,9197,5481,3365,13,210,1666,3969,2468,621,89
指定校推薦 落ちる確率,2.547,47.643,9.704,104,5317,1682,2966,1089,260,158,1781,1521,81,43
大学入学式,2.542,108.085,8.246,185,9498,2691,6094,453,207,373,3459,3844,660,163
指定校推薦 校内選考,2.542,-28.293,8.609,144,7393,1602,5078,877,128,111,2847,2896,112,48
市町村民税の課税標準額,2.541,-0.785,16.738,78,4011,1619,2195,21,33,191,2296,1254,102,51
auじぶん銀行カードローン,2.54,9.278,8.95,171,8805,5302,3060,12,998,2571,2717,1791,402,96
大学受験,2.538,-4.838,4.701,744,38375,12496,23008,1594,885,1185,14776,16125,1511,895
自動車学校 料金,2.537,8.898,10.094,212,10945,4887,5323,311,820,932,4035,3465,740,295
赤本 2023 発売日,2.536,-22.886,11.256,146,7545,2517,4470,501,180,216,2948,3111,286,76
楽天カードローン,2.535,5.739,8.604,209,10815,6432,4044,8,957,2815,3444,2582,739,141
カードローン 金利,2.535,0.027,10.282,113,5843,3630,2033,16,503,1450,1672,1439,543,160
オリックス銀行 カードローン,2.534,-0.001,13.487,76,3933,3028,800,5,163,775,1325,1182,381,46
高等学校等就学支援金,2.533,35.067,5.304,629,32599,11274,19826,209,298,2467,18531,9469,716,342
ローン,2.528,0.644,5.179,384,20006,11202,7930,76,1702,4837,5864,4218,2038,860
近畿大学 公募推薦,2.527,-26.356,9.751,133,6935,2187,4083,894,280,151,2226,2754,159,110
法政大学 合格発表,2.521,78.689,8.301,143,7500,2885,4063,710,320,92,2063,3496,274,263
ユニライフマイページ,2.52,47.907,15.249,106,5568,1981,3092,350,1136,88,1221,2254,217,62
神奈川大学 オープンキャンパス 2022,2.518,-74.657,11.586,87,4577,1212,2968,528,118,69,1544,1932,115,45
国立大学 出願状況,2.516,32.809,8.556,150,7907,3280,4171,109,126,110,2415,3965,660,315
願書 封筒 書き方,2.516,4.397,9.635,125,6590,1191,4980,252,339,628,3378,1724,61,31
公立高校 入学金,2.515,16.446,12.102,85,4487,1273,2974,36,55,885,2644,647,69,50
楽天ローン,2.514,10.948,11.269,119,6286,3556,2548,11,272,1268,2332,1819,443,69
大学共通テストとは,2.514,-0.012,13.522,75,3960,1275,2387,92,87,225,1836,1155,193,226
法政大学 入試要項,2.508,13.747,7.53,208,11057,3852,6444,797,308,106,3102,5704,456,217
近畿大学 入試,2.508,12.854,8.108,170,9037,3385,4875,739,328,219,2748,3920,402,260
国立大学 推薦入試,2.508,-7.591,16.252,72,3825,1210,2351,85,52,138,1730,1481,147,69
高等学校就学支援金,2.503,28.201,16.302,76,4060,1130,2748,40,44,320,2364,1129,74,31
自動車学校 合宿,2.5,34.867,11.278,157,8408,2922,4870,451,1026,458,2722,3009,345,109
国公立大学 学費,2.5,0.014,13.65,94,5035,1780,2869,322,306,420,2051,1525,158,57
ao入試 大学一覧,2.5,-19.761,14.858,92,4926,1719,2808,314,104,131,1904,1905,237,134
楽天銀行カードローン,2.497,4.379,10.232,168,9023,5759,2993,9,679,2093,3091,2361,583,97
世帯年収とは,2.495,0.008,7.37,216,11634,3850,7238,98,1039,1780,5165,2893,347,101
卒挙式の服装 母親40代,2.494,108.921,11.206,74,3988,225,3502,17,14,75,3464,270,16,20
貸予 読み方,2.489,3.176,14.982,80,4332,1709,2341,47,238,756,1869,1067,168,52
学校推薦型選抜,2.487,16.618,11.567,94,5103,1629,3007,588,142,183,2002,1741,136,58
メガスタ 評判,2.482,-37.913,11.84,109,5944,1433,4143,154,149,208,2700,2352,176,61
私立大学 学費 4年間,2.481,12.185,12.841,91,4970,1880,2757,120,138,601,2489,1238,122,104
ウカロ,2.478,51.659,8.319,145,7939,2684,4525,963,387,141,2403,3445,188,55
政策金融公庫,2.477,0.0,4.887,591,32395,24741,6712,52,732,4204,10630,10833,4365,1161
指定校推薦とは,2.475,-6.627,6.385,457,25087,6855,15713,2105,1020,1777,10931,6939,602,271
教育資金贈与,2.475,-0.0,4.326,404,22186,10661,10605,42,555,3172,7413,6456,2439,1717
ローン審査 通らない理由,2.475,2.238,15.654,68,3736,1690,1881,11,368,1287,1113,673,172,35
じぶん銀行 カードローン,2.474,7.091,11.148,135,7424,4298,2831,4,454,1810,2393,2086,445,99
法政大学 出願状況,2.47,59.856,10.146,99,5464,2227,2855,386,190,55,1429,2673,349,202
無担保ローンとは,2.47,7.142,11.791,86,4747,2611,1972,10,715,1325,1434,937,200,56
学校推薦型選抜とは,2.47,-42.6,15.02,70,3865,1123,2311,603,128,117,1344,1314,95,27
スカラネット ログイン,2.469,3.047,11.166,159,8783,2891,5352,612,2692,1653,2063,1372,145,48
e-shien,2.467,42.998,8.871,280,15497,7642,7393,87,98,547,7814,6228,441,136
年間所得とは,2.467,4.928,9.122,146,8083,3735,3965,21,256,1717,2761,1805,1012,331
ucaro ログイン,2.466,39.25,4.555,545,30208,12453,15245,3920,1649,333,8205,13477,1076,338
高校無償化 私立高校,2.466,1.178,11.715,128,7091,2764,3996,31,63,906,3843,1747,288,102
奨学金 返済,2.464,0.028,4.455,773,42911,19157,21405,349,5734,8823,8864,13047,4130,857
国公立大,2.463,-0.998,8.378,247,13727,4668,7861,760,442,686,5629,4939,407,226
国民金融公庫,2.461,-0.002,7.724,158,8802,5638,2848,11,163,619,2285,3257,1733,583
上智大学 学費,2.46,7.867,16.565,71,3960,1291,2361,134,117,187,1477,1593,185,129
家電セット 一人暮らし,2.455,47.17,8.42,161,9022,3283,5333,94,1586,1204,2727,2798,369,89
大学共通テスト 2023,2.454,6.534,5.597,394,22103,8854,11809,456,637,1202,7620,8497,1808,1141
カードローン 審査ゆるい,2.45,3.749,6.715,325,18309,10321,7392,30,2607,5653,5295,3262,958,270
大阪公立大学 学費,2.448,1.81,13.531,95,5363,1815,3148,198,193,172,2131,2119,200,139
住宅ローン借り換えランキング,2.448,1.363,14.908,80,4514,2637,1703,7,54,597,2033,1424,292,39
東京都立大学 オープンキャンパス,2.445,-100.669,16.779,78,4414,1157,2812,646,102,49,1539,1659,122,52
学生定期 料金,2.445,79.616,17.824,73,4131,1175,2689,162,417,239,1809,1237,104,40
看護専門学校,2.444,-8.536,12.323,133,7532,2062,4768,572,611,782,2675,2007,355,150
2004年生まれ 学歴,2.444,39.004,15.533,72,4079,620,2953,1275,226,176,1214,897,34,22
私立大学,2.442,-0.004,11.617,102,5791,2407,2818,516,365,372,1814,1832,355,213
楽天スーパーローン,2.44,4.808,6.598,364,20697,13524,6604,21,1063,3812,6684,6475,2123,290
明治大学 出願状況,2.44,30.123,11.052,82,4665,1805,2508,381,178,50,1165,2289,258,164
理学療法士 大学,2.439,-31.81,8.899,272,15487,4714,9498,842,508,594,6264,5202,847,495
証書貸付とは,2.437,7.849,10.111,95,5417,2903,2258,7,478,1056,1754,1388,459,151
三井住友銀行カードローン,2.436,4.923,8.123,204,11653,7355,3830,8,837,2377,3643,3194,1155,208
中央大学 入試要項,2.435,14.153,10.566,109,6230,2389,3391,473,218,70,1685,3166,254,140
z会 大学受験,2.434,-7.069,15.322,87,4976,1939,2695,310,126,111,1694,2272,251,70
通信制高校 学費,2.432,-21.803,10.669,147,8427,2214,5636,404,230,757,4122,2321,228,99
自動車免許 合宿,2.432,61.287,12.676,95,5446,2246,2870,273,564,368,1828,1934,241,88
大学共通テスト,2.431,-8.846,9.911,155,8893,3924,4336,400,418,639,3419,2859,544,300
公募推薦とは,2.427,-13.935,7.23,296,17057,4144,11014,2482,784,432,6048,5787,310,162
明治大学 合格発表,2.426,79.318,9.71,100,5768,2075,3265,401,244,100,1680,2664,248,212
市町村民税の調整控除額,2.424,-0.613,18.311,69,3989,1496,2322,16,16,144,2222,1457,49,27
明治大学 入試要項,2.423,26.699,8.663,129,7462,2551,4412,581,242,90,2113,3753,309,146
東海大学 オープンキャンパス,2.421,-32.953,15.943,70,4058,1172,2487,580,144,79,1389,1544,81,23
減額診断 デメリット,2.42,4.684,11.786,99,5747,2568,2996,9,582,1471,1936,1308,302,68
データネット,2.419,17.374,12.209,68,3948,1988,1619,564,256,168,1028,1560,161,41
専修学校とは,2.417,5.224,8.921,196,11406,4232,6469,224,1371,1774,4200,2682,648,162
奨学金 繰り上げ返済,2.414,0.026,6.671,333,19435,6097,12373,52,2976,4615,3606,6136,1492,189
専門学校,2.413,-0.131,4.967,685,40046,15021,21633,2394,3281,3080,13117,12727,2636,1035
慶應義塾大学 学費,2.413,5.49,11.649,91,5320,1984,2957,242,211,297,1906,1948,330,179
明治大学 入試,2.411,5.099,10.24,125,7321,2594,4162,694,270,146,1920,3440,374,182
一人暮らし 家電セット,2.41,57.34,6.274,283,16589,5752,10057,130,2125,1936,5221,6140,619,124
返済シュミレーション,2.409,0.721,8.019,213,12491,8175,3938,34,971,3355,3743,2894,1071,295
成人式 着物レンタル,2.407,26.835,8.288,334,19628,4673,13765,306,481,694,8442,8045,664,437
三井住友カードローン,2.405,2.342,7.863,249,14667,9301,4848,15,1558,3380,4488,3572,1207,225
高校無償化 所得制限 計算,2.405,-13.384,12.863,104,6129,2067,3812,20,20,720,3820,1378,58,37
薬学部 学費 安い順,2.404,-2.126,8.523,209,12329,4028,7555,282,324,1028,5719,3879,555,228
テレメール,2.401,-34.562,10.015,182,10768,3612,6307,807,435,353,3565,4789,379,81
奨学金 経済状況 例文,2.4,21.916,11.267,76,4501,1135,2898,203,1748,64,1189,1055,30,10
共通テスト利用 私立 ボーダー,2.399,17.131,12.036,71,4207,1431,2392,466,193,69,1227,1942,95,18
リフォームローン,2.398,-1.666,6.777,415,24605,14485,9307,33,467,3761,8198,8136,3038,614
海外留学 費用,2.395,-0.017,16.181,66,3926,1327,2363,62,365,504,1461,1204,162,64
臨床検査技師 大学,2.394,-0.028,11.872,121,7206,1853,4744,483,338,395,2898,2352,308,115
国立大学 学費,2.391,-0.005,5.173,551,32927,13817,17259,450,1155,2559,13324,11399,2197,999
通学定期 買い方,2.391,117.775,11.544,114,6813,2142,4222,351,690,364,2815,2149,199,65
高等学校等就学支援金制度,2.39,-108.113,9.1,191,11416,3828,7044,59,100,712,6329,3617,274,117
教習所 合宿,2.389,50.673,16.872,66,3951,1214,2453,230,453,334,1387,1259,126,36
大学 無償化,2.38,-7.137,16.272,71,4288,1455,2661,56,160,827,2177,898,85,33
青山学院大学 入試,2.38,12.444,15.669,64,3867,1558,1962,532,181,80,966,1599,209,111
私立高校 無償化,2.379,-6.746,3.945,1080,65320,16950,45001,397,487,7678,39517,13293,1549,1016
東進ハイスクール 料金,2.379,5.892,13.945,96,5804,1563,3906,190,86,241,3137,1894,74,38
日大工学部,2.378,-18.092,16.349,77,4661,2459,1897,108,288,293,1473,1754,410,180
福岡国際医療福祉大学,2.377,-31.283,14.565,80,4845,1781,2684,317,402,408,1603,1441,321,147
新生活 家電セット,2.375,75.274,6.806,238,14448,5794,8027,107,1722,1964,4443,4987,847,146
0120959551,2.372,40.398,8.887,227,13815,3330,9650,383,150,745,8500,3519,123,62
鹿島学園 通信制,2.372,-8.141,11.393,150,9132,2520,5990,483,352,709,4002,2759,407,117
