検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
貸与奨学金,3.442,0.02,7.307,371,2332,802,1355,98,258,67,950,808,66,19
奨学金返済,3.437,0.001,5.369,407,2569,944,1475,30,529,484,515,727,184,41
国 教育ローン,3.43,2.137,6.192,354,2250,871,1288,13,44,191,1270,647,36,15
ja教育ローン,3.423,5.689,6.33,377,2413,1069,1201,20,38,125,1259,827,61,14
第二種奨学金,3.419,1.757,5.935,528,3394,1149,2031,140,359,231,1476,998,74,30
国の教育ローン,3.405,0.02,1.797,4559,29714,10903,17498,343,840,1786,13902,10886,1115,305
スカラネット 申し込み,3.388,-2.903,6.333,460,3052,1094,1728,287,146,100,1184,1100,83,33
貸与型奨学金,3.387,4.598,6.139,441,2926,1001,1730,127,281,143,1164,969,114,45
奨学金 年収制限,3.375,0.001,4.847,317,2130,871,1156,39,174,398,895,544,29,15
奨学金 利率,3.361,0.003,4.853,435,2965,1579,1255,29,545,627,887,756,58,14
第一種奨学金,3.352,0.965,5.14,677,4656,1770,2588,218,492,392,1893,1381,131,31
ろうきん 教育ローン,3.346,2.908,3.866,898,6212,2749,3163,21,84,355,3246,2255,77,37
奨学金 残高 確認,3.344,0.0,2.726,845,5855,3095,2555,2,1318,3633,404,245,137,41
教育ローン 審査 ゆるい,3.339,1.988,4.482,633,4410,1655,2585,15,163,379,2210,1420,131,37
給付奨学金,3.33,0.861,4.513,872,6127,1870,3847,205,924,278,2495,1818,193,59
スカラネット 進学届,3.328,151.608,7.84,300,2113,683,1286,320,79,49,847,679,58,15
キーエンス財団,3.327,2.004,4.896,556,3919,1296,2380,144,428,117,1464,1487,126,67
教育ローン,3.303,0.003,1.36,7157,51683,22724,26636,330,1311,3995,25809,17218,1511,528
奨学金 返済免除,3.297,0.0,1.83,2624,19057,7754,10369,224,2561,4009,4848,5099,1572,361
奨学金 平均借入額,3.288,0.0,6.614,242,1774,772,893,58,398,236,594,392,55,6
奨学金 返済期間,3.282,0.001,3.075,975,7187,3331,3547,108,963,2363,1720,1323,470,104
奨学金 返済,3.276,0.0,1.323,5783,42911,19157,21405,349,5734,8823,8864,13047,4130,857
奨学金 繰り上げ返済,3.269,0.0,2.022,2603,19435,6097,12373,52,2976,4615,3606,6136,1492,189
大学奨学金制度,3.262,-1.874,3.059,1772,13330,4259,8237,176,136,293,6380,5198,554,195
教育ローン おすすめ,3.26,0.014,4.001,858,6470,2605,3629,43,125,382,3492,2194,110,44
キーエンス 奨学金,3.255,6.987,2.462,2508,19003,5327,12490,771,1717,376,7240,7725,527,204
奨学金返済期間は何年,3.245,0.002,8.051,224,1713,635,991,22,143,397,433,493,162,20
給付型奨学金 一覧 2022,3.242,-3.56,5.007,582,4464,1269,2951,112,208,220,1789,1759,204,82
教育ローン 低金利,3.238,2.009,2.894,1407,10836,4702,5752,41,199,646,5458,4041,225,86
大学 奨学金 申込時期,3.234,-5.451,6.083,386,2987,901,1930,74,33,101,1657,1007,47,11
奨学金 残りの返済額,3.226,0.001,4.652,259,2019,861,1087,2,794,1087,63,28,15,8
スカラネット入力,3.224,-78.201,3.849,1344,10497,4146,5638,803,611,303,3915,4086,357,79
奨学金 住所変更,3.224,0.0,5.237,368,2876,997,1753,13,1037,1212,273,244,41,8
学費ローン,3.217,-0.0,3.603,903,7103,3187,3630,36,203,506,3226,2695,263,71
高校奨学金制度,3.21,0.001,6.45,342,2711,800,1756,24,40,235,1467,734,107,33
ガクシー,3.205,13.582,7.421,247,1967,643,1231,74,103,95,807,772,70,18
給付型奨学金,3.202,0.009,2.102,4171,33304,9705,21666,890,2051,2082,14268,11425,1357,426
給付奨学金とは,3.201,-3.504,8.32,272,2174,677,1357,48,131,107,1003,738,55,21
奨学金 利子 いくら,3.199,0.002,5.283,338,2709,875,1672,126,614,662,857,352,29,12
金融公庫 教育ローン,3.197,3.989,8.675,228,1831,625,1144,6,17,77,829,757,95,24
キーエンス財団奨学金,3.191,2.67,7.611,241,1946,816,1005,96,198,71,672,752,95,24
専門学校 奨学金,3.189,-0.002,4.178,941,7612,2218,5009,191,265,801,4085,1878,160,60
ニトリ奨学金,3.189,9.665,10.543,200,1618,327,1184,56,110,48,697,606,52,15
給付型奨学金 所得制限,3.186,1.976,4.041,1185,9613,2442,6636,138,357,367,4348,3732,388,85
ガクシー 奨学金,3.184,0.007,7.827,246,2000,592,1294,39,93,67,745,900,96,21
奨学金 返済額,3.178,0.001,5.205,390,3192,1381,1643,50,956,694,751,553,102,26
奨学金 返済 苦しい,3.173,0.0,4.999,297,2443,983,1304,79,672,641,446,408,109,18
奨学金返済 月いくら,3.168,0.003,6.977,310,2562,690,1698,52,610,177,767,788,70,29
スカラネット ログインできない,3.166,0.615,9.786,241,1995,503,1332,146,255,163,832,497,23,12
学資ローン 低金利,3.153,0.018,5.626,419,3513,1648,1735,5,39,147,1753,1378,104,35
学資ローン,3.147,0.001,3.814,809,6826,3745,2827,21,165,465,3180,2556,266,71
進学資金シミュレーター,3.146,0.03,6.355,482,4073,1430,2477,125,112,205,2039,1406,107,34
奨学金 親が返済,3.144,0.001,6.958,221,1871,579,1197,14,147,359,768,475,62,12
大学生 奨学金,3.138,-0.007,7.629,221,1881,685,1072,56,178,82,768,658,69,13
日本政策金融公庫 教育ローン,3.137,2.051,3.013,1569,13375,5677,7189,70,291,647,5341,5856,786,169
給付型奨学金 デメリット,3.131,1.015,7.582,291,2496,704,1637,85,121,110,1044,928,118,26
奨学金 返済日,3.13,0.0,7.926,192,1648,805,772,2,653,582,129,195,42,15
大学授業料減免制度,3.121,0.285,8.429,334,2894,766,1962,21,38,87,1162,1295,174,55
機関保証とは,3.119,9.846,8.51,256,2221,819,1236,83,246,233,860,616,90,18
給付型奨学金 母子家庭,3.117,0.126,6.57,443,3852,341,3276,66,101,224,1997,1262,81,44
奨学金 一括返済,3.104,0.0,4.553,421,3707,1465,2057,34,1100,980,775,674,70,20
日本学生支援機構奨学金,3.098,0.009,8.606,208,1843,589,1176,55,241,188,649,585,74,22
スカラネット,3.094,0.184,1.833,6239,55510,21163,31159,3427,8718,7296,19076,13663,1586,455
学資ローン おすすめ,3.082,0.002,8.012,222,2000,902,1012,3,20,90,1066,723,52,12
大学費用どうしてる,3.075,-0.003,8.072,274,2486,613,1733,21,24,221,1594,558,16,7
大学奨学金制度 親の年収,3.071,-0.577,5.66,513,4670,1450,2917,29,38,145,2203,1867,180,74
大学 授業料免除,3.071,0.022,9.023,248,2258,600,1550,42,74,154,1117,743,76,20
学費 払えない,3.055,0.005,6.74,331,3062,859,1999,65,278,262,1327,940,74,24
スカラネット入力 ログイン,3.051,8.295,2.32,3518,32678,12399,18658,1151,6120,5016,8806,9312,1349,287
奨学給付金,3.047,0.001,8.72,255,2377,670,1584,21,61,260,1197,690,74,23
日本奨学金支援機構,3.04,0.002,3.653,1393,13079,3908,8424,299,2927,3078,2984,3023,407,76
奨学金 口座変更,3.033,0.0,3.856,580,5485,2138,3138,21,2546,2025,289,414,111,16
奨学金 返済 いつから,3.033,0.001,8.579,186,1760,679,977,20,610,164,367,525,30,5
就学支援金制度 大学,3.032,-0.003,8.72,273,2584,680,1774,34,58,145,1225,946,107,19
大学 奨学金,3.021,-2.752,2.788,2102,20116,7092,11977,513,558,1686,10529,5862,407,150
授業料減免制度,3.021,3.956,6.595,464,4443,1379,2829,70,275,212,1906,1622,192,77
生計維持者とは,3.013,0.082,7.985,368,3549,1322,1993,118,225,263,1308,1141,337,49
奨学生番号 調べ方,3.007,0.007,4.156,722,7005,3179,3349,306,2234,2142,1099,893,85,34
大学学費 どうしてる,2.992,0.547,8.895,195,1922,582,1206,33,26,59,1015,697,23,12
学生支援機構奨学金,2.987,0.002,3.594,1365,13519,5598,7237,160,1454,1759,3411,4894,1281,267
スカラネットログイン,2.982,9.335,10.764,176,1751,572,1081,136,510,240,416,358,43,9
日本支援機構奨学金,2.974,2.107,8.272,219,2198,428,1591,112,602,314,546,470,62,18
奨学金 経済状況 例文,2.968,0.022,4.526,446,4501,1135,2898,203,1748,64,1189,1055,30,10
日本学生支援機構 奨学金,2.963,0.944,1.598,6046,61354,17518,40523,1249,7719,9408,18540,19276,3147,691
jasso 奨学金,2.944,0.751,3.934,1254,12959,3886,8329,507,1751,790,4431,4473,592,167
学生ローン,2.939,-0.0,5.412,389,4040,2131,1708,133,1201,508,1178,764,134,49
学生ウォーカー,2.939,3.579,8.584,236,2452,895,1422,87,86,21,864,1257,70,18
高等教育の修学支援新制度,2.936,0.186,4.303,1078,11239,3375,7330,166,441,784,4908,4072,522,160
スカラネット ログイン,2.928,1.92,4.73,836,8783,2891,5352,612,2692,1653,2063,1372,145,48
日本学生支援機構 電話,2.914,0.004,6.471,304,3240,1238,1856,36,732,773,651,765,182,40
九州産業大学 学費,2.913,-0.018,10.592,182,1941,709,1091,60,56,61,824,753,77,40
日本育英会 奨学金,2.901,0.0,5.689,462,4986,2497,2273,22,53,558,2050,1600,415,188
ニトリ 奨学金,2.893,1.916,9.928,152,1653,347,1234,72,113,124,790,497,27,11
似鳥国際奨学財団,2.889,-0.005,11.171,152,1661,334,1253,60,131,103,755,521,38,19
日本学生支援機構 給付型,2.884,-0.141,6.244,543,5959,981,4635,148,359,177,2339,2500,227,71
jasso,2.871,1.026,4.043,1170,13011,5293,7121,281,1453,1275,4468,4333,790,207
日本学生機構 奨学金,2.87,-16.699,5.743,606,6748,1958,4444,96,865,940,1993,2248,360,91
育英会 奨学金,2.869,-0.0,5.286,551,6137,2213,3640,44,200,941,2739,1616,331,143
日本学生支援機構,2.865,-0.001,1.709,6110,68362,30685,34490,1102,9594,14575,18154,18364,4345,1002
横浜銀行 教育ローン,2.851,6.318,10.498,172,1951,960,926,4,41,100,879,850,44,10
奨学金 学生生活の状況 例文,2.838,0.009,6.492,215,2472,585,1609,148,1197,35,465,467,27,4
奨学のための給付金,2.833,-0.001,10.397,168,1941,407,1452,17,31,211,1098,490,49,18
大学生 住所変更は必要か,2.816,59.557,10.318,174,2044,682,1260,43,70,42,962,832,46,10
スカラネット 継続手続き,2.812,8.392,6.813,302,3564,1115,2171,80,940,50,1067,1207,85,22
スカラネット 奨学生番号,2.806,0.009,11.808,147,1744,546,1060,143,443,321,428,293,37,14
大学入学式スーツ 男子,2.8,83.977,4.696,751,8964,2223,6116,143,43,77,3925,4184,210,100
奨学金 繰上げ返済 メリット,2.8,0.005,6.31,177,2114,780,1276,6,473,864,315,353,85,7
専門学校 入学式 服装,2.797,70.252,7.289,296,3544,624,2678,169,82,190,1763,1140,57,29
大学無償化 母子家庭,2.797,-0.167,9.693,190,2275,265,1911,24,25,201,1262,651,57,18
修学支援新制度,2.793,15.876,6.726,339,4075,1371,2503,49,187,413,1944,1171,182,51
jasso 給付型奨学金,2.793,2.766,8.705,313,3764,922,2629,108,267,124,1403,1520,205,65
大学入学金,2.789,0.004,7.1,380,4588,1612,2701,39,75,587,2221,1230,168,127
大学授業料,2.785,0.006,7.578,331,4011,1989,1774,30,89,234,1532,1490,343,177
返済不要 奨学金,2.783,0.004,10.244,169,2053,527,1423,29,91,182,916,683,81,33
奨学金 引き落とし日,2.78,0.0,5.235,444,5409,2317,2891,8,2619,2144,220,264,69,17
東北福祉大学 学費,2.773,-8.772,12.591,137,1680,549,1024,63,64,64,730,588,68,41
大学院 奨学金,2.767,0.011,7.533,343,4232,1482,2535,38,892,200,895,1859,209,49
中部大学 学費,2.766,-11.752,8.902,254,3137,1042,1878,102,112,77,1430,1161,84,51
大学無償化 最新情報,2.763,-0.016,4.447,1075,13313,3651,9011,64,138,1181,6923,4262,378,100
神戸学院大学 学費,2.761,-0.459,8.509,240,2978,891,1850,107,115,87,1243,1109,122,68
大学入学式 保護者,2.755,95.086,4.688,723,9032,1725,6653,206,69,152,4270,3888,126,50
摂南大学 学費,2.738,0.507,10.762,175,2224,682,1383,77,66,57,931,887,67,62
大学生仕送り平均額,2.728,17.658,12.099,131,1681,463,1074,58,84,29,663,729,49,10
京都産業大学 学費,2.723,-0.015,8.941,264,3404,1217,1923,134,151,89,1338,1362,119,83
ユニライフ 評判,2.723,19.053,9.716,159,2050,707,1191,57,72,42,727,994,72,11
大学入学式 服装,2.716,70.52,7.42,270,3506,1178,2113,164,40,51,1303,1614,188,52
東北学院大学 学費,2.712,-0.016,8.72,249,3246,1154,1855,109,139,159,1428,1131,100,58
学費が安い私立大学,2.71,-0.01,9.671,206,2690,921,1529,244,98,115,1060,928,79,40
大学 奨学金 返済不要,2.704,-9.792,9.874,138,1813,540,1177,51,60,124,864,612,54,19
愛知学院大学 学費,2.699,-2.629,9.258,238,3143,1015,1904,156,124,101,1355,1138,91,57
大学生 一人暮らし,2.695,15.347,4.301,879,11658,3274,7329,749,731,255,4315,4709,264,98
常葉大学 学費,2.687,0.377,11.421,154,2058,663,1237,93,70,84,957,691,57,39
大学生 パソコン,2.678,80.467,4.084,932,12569,5831,5812,1142,580,253,4747,5045,266,118
神奈川大学 学費,2.678,-3.998,7.193,391,5273,1727,3173,194,207,199,2060,2088,237,110
国士舘大学 学費,2.678,-5.325,10.077,199,2685,784,1741,73,83,87,1205,1025,80,54
高校 奨学金,2.677,0.001,7.052,263,3552,1103,2297,63,199,711,1846,612,54,23
岡山理科大学 学費,2.674,-17.201,11.648,149,2017,680,1187,60,82,91,878,718,75,52
ユニライフ学生マンション,2.672,13.905,4.416,909,12340,3534,7950,219,428,197,4453,6020,499,108
学生マンション,2.671,6.781,4.122,1000,13579,4502,8088,649,785,310,4574,6089,518,187
学生支援機構,2.667,0.003,7.538,292,3981,2235,1596,29,391,694,1005,1202,505,101
大学無償化,2.666,1.224,6.87,439,5994,2071,3655,87,218,845,2890,1609,208,49
大学 一人暮らし 費用,2.666,0.234,11.324,126,1720,554,1031,134,65,132,874,433,13,10
大学入学式 バッグ,2.665,106.754,10.737,149,2036,371,1498,197,41,26,734,912,36,15
大学の入学式 親,2.662,92.011,10.345,157,2152,442,1573,47,15,39,986,923,53,34
龍谷大学 学費,2.66,-2.043,7.745,353,4846,1561,2914,173,204,138,1949,1922,162,106
中京大学 学費,2.655,-0.857,8.766,271,3739,1216,2269,155,156,109,1641,1414,73,62
スカラネット 在籍報告,2.652,0.0,10.808,198,2742,676,1859,89,1017,54,670,721,79,34
高校卒業式 母親 服装,2.649,89.662,6.95,331,4597,564,3686,36,12,89,2097,2072,105,26
大東文化大学 学費,2.649,0.48,11.61,144,2000,707,1171,83,83,63,843,775,57,29
学生マンション やめとけ,2.647,10.935,6.748,342,4757,1416,2972,330,392,124,1660,1932,117,41
母子家庭 大学 授業料免除,2.646,-8.689,5.373,718,10004,1660,7801,109,173,788,5154,3101,328,128
大学入学式 スーツ 女子,2.644,73.466,4.337,865,12076,2111,9105,468,96,110,5085,5587,215,121
母子父子寡婦福祉資金,2.642,0.006,9.031,178,2490,545,1841,22,209,512,1022,528,127,32
大学 奨学金 所得制限,2.641,-2.533,5.779,482,6749,1906,4526,57,85,505,3663,2151,119,51
武蔵野大学 学費,2.639,-6.005,12.644,131,1838,579,1136,70,81,64,678,782,59,38
私立大学 入学金,2.638,-0.01,9.649,247,3466,1178,2085,104,83,370,1684,926,114,80
福岡大学 学費,2.637,-3.988,6.318,540,7592,2596,4466,224,258,359,3173,2847,322,152
大学生 保険 おすすめ,2.637,60.874,14.532,115,1616,456,1097,16,16,16,808,708,20,10
松山大学 学費,2.635,-4.328,11.451,169,2380,823,1387,56,113,143,1041,789,91,52
千葉工業大学 学費,2.631,-0.002,10.153,160,2261,889,1217,61,99,69,832,964,92,74
大阪経済大学 学費,2.63,0.006,11.877,142,2010,737,1129,94,120,85,773,752,64,45
大学生 仕送り額 平均,2.622,3.813,4.684,852,12150,3773,7541,246,798,390,4958,4925,290,135
スカラネットパーソナル,2.62,0.06,1.973,3546,50671,19917,27939,871,20898,11874,3851,9344,2305,476
大学学費,2.607,0.014,7.679,304,4404,2174,1951,95,123,372,1866,1535,187,85
甲南大学 学費,2.607,-21.652,9.422,230,3330,1142,1938,129,137,136,1300,1331,133,54
駒澤大学 学費,2.604,0.021,10.089,203,2949,954,1777,109,99,126,1245,1104,96,55
東京工科大学 学費,2.604,-3.485,12.393,146,2121,636,1352,90,65,54,780,940,77,56
久留米大学 学費,2.597,1.229,13.393,120,1756,608,1030,66,78,83,744,628,66,30
学生生協,2.595,22.207,14.429,115,1686,536,1037,38,174,61,515,773,66,17
仕送り 大学生,2.589,0.483,7.694,313,4613,1623,2670,149,359,115,1878,1817,101,48
浪人 予備校 費用,2.585,77.911,10.494,138,2042,580,1335,107,46,56,895,845,31,9
大学無償化 所得制限,2.579,-0.011,9.318,228,3396,960,2283,26,36,323,1678,1150,102,28
学生寮 食事付き 東京,2.579,3.049,11.275,115,1712,627,996,32,50,69,651,742,96,36
大学生 一人暮らし 費用,2.57,3.3,7.739,259,3891,1108,2343,487,737,170,1281,946,44,12
パソコン 大学生,2.569,73.728,12.667,124,1866,591,1074,308,230,44,617,547,18,11
大和大学 学費,2.566,-31.978,10.425,178,2686,876,1585,134,104,62,1076,1018,100,72
大学 入学式 スーツ,2.566,58.364,9.961,166,2505,608,1725,179,62,82,1229,859,28,12
海外留学 奨学金,2.562,0.009,11.575,143,2167,716,1356,40,195,117,682,924,137,38
北海学園大学 学費,2.558,-12.862,12.934,118,1795,623,1056,78,59,87,721,664,81,37
入学式 スーツ 大学生,2.557,92.295,5.536,546,8308,2084,5711,549,124,56,3027,4143,140,79
東京電機大学 学費,2.556,-0.002,11.757,142,2164,782,1244,61,82,62,761,969,102,66
ウカロファミリーログイン,2.554,15.028,10.323,165,2519,639,1726,29,13,6,1005,1368,40,7
指定校推薦 合格率,2.554,-19.327,9.208,159,2428,724,1428,414,73,56,927,755,29,13
日本学生支援機構 振込日,2.553,-1.48,12.129,194,2965,830,1959,67,1044,120,703,840,114,18
大学生バイト扶養範囲内,2.549,23.789,15.72,108,1658,354,1181,27,57,21,613,816,63,6
大学生協 入るべきか,2.548,80.51,10.6,128,1966,468,1374,83,40,27,921,804,29,7
埼玉大学 出願状況,2.547,68.1,10.385,115,1769,673,972,128,73,47,617,755,65,26
近畿大学 学費,2.545,-0.23,5.597,668,10290,3386,6184,392,307,349,4263,4065,352,203
大学 パソコン おすすめ,2.545,55.741,10.282,141,2173,849,1138,376,123,61,783,710,30,9
熊本大学 出願状況,2.545,18.593,11.224,108,1664,678,850,107,71,51,523,721,77,26
関西大学 学費,2.544,-1.973,6.005,596,9192,3020,5522,284,256,362,3846,3550,315,218
高校生等奨学給付金,2.534,-7.349,8.233,292,4548,924,3408,28,41,572,2624,1058,104,50
東海大学 学費,2.533,-0.005,7.661,332,5179,1726,3122,175,196,217,2169,1972,183,90
近畿大学 出願,2.533,19.093,9.662,140,2183,850,1110,361,125,27,623,829,74,20
文教大学 学費,2.533,-2.952,12.062,125,1949,644,1175,112,68,60,819,732,76,21
筑波大学 学費,2.531,-6.21,12.813,108,1687,593,999,64,100,94,757,563,44,18
山口大学 出願状況,2.53,47.914,9.689,153,2394,938,1232,187,126,66,738,1016,89,54
福大 入試,2.53,12.624,11.448,116,1814,430,1212,126,82,45,635,735,50,51
大学入学式 保護者 服装,2.526,71.078,11.077,135,2120,397,1570,7,20,8,899,1053,54,14
東北学院大学 オープンキャンパス,2.526,-115.806,13.196,118,1853,551,1101,208,62,34,694,669,36,19
鹿児島大学 出願状況,2.523,72.774,10.375,126,1984,805,1026,92,90,48,678,869,98,28
スカラネットパーソナル ログイン,2.522,0.212,8.227,216,3406,1128,2079,65,1612,581,421,509,119,30
東洋大学 学費,2.52,-0.008,6.98,386,6096,2046,3644,236,263,208,2368,2481,224,121
学生会館 ドーミー,2.517,2.412,11.304,129,2043,718,1201,56,67,60,682,965,120,43
愛媛大学 出願状況,2.516,27.691,10.103,126,1998,731,1088,125,75,49,709,825,82,47
日本大学 学費,2.515,0.867,9.791,190,3015,1084,1758,141,154,162,1365,1033,59,21
帝京大学 学費,2.514,-0.153,9.442,232,3686,1222,2212,171,160,156,1491,1396,119,61
専修大学 学費,2.512,4.528,10.036,174,2770,869,1718,94,111,106,1145,1152,51,33
大阪工業大学 学費,2.512,-4.695,14.264,122,1943,643,1154,70,94,70,744,769,75,51
大学受験 何校受ける,2.51,1.042,7.801,299,4771,1061,3323,269,79,85,2034,1991,85,49
関東学院大学 学費,2.509,-0.074,12.338,140,2236,787,1297,80,79,71,853,951,77,49
佐賀大学 オープンキャンパス,2.508,-108.068,13.257,108,1726,501,1032,174,56,35,623,679,34,17
山口大学 入試,2.507,-4.197,10.765,134,2144,914,1084,128,77,64,672,966,114,58
摂南大学 公募推薦,2.503,-37.073,9.398,172,2763,890,1578,344,133,52,842,1107,69,57
あすのば 給付金,2.502,-9.545,11.17,127,2043,277,1673,10,38,380,1019,469,73,30
国立大学 入学金,2.502,10.722,12.044,105,1688,667,931,30,44,125,681,678,68,31
東北学院大学 入試,2.499,15.758,12.62,125,2016,871,966,158,77,49,627,806,133,55
名城大学 出願,2.499,41.368,11.18,109,1758,668,887,323,81,24,528,652,32,17
愛知大学 学費,2.498,0.121,9.937,211,3408,1146,2021,154,147,130,1507,1191,84,69
関西大学 出願状況,2.498,67.762,9.75,134,2164,813,1152,241,76,17,629,960,80,55
日本学生支援機構 スカラネット,2.497,0.053,7.007,410,6626,2671,3653,151,1460,1697,1084,1543,480,120
高校就学支援金 2022,2.495,-79.441,6.842,391,6330,1786,4220,40,33,396,3669,1922,115,45
鹿児島大学 入試,2.495,-17.362,9.829,135,2187,1012,1042,93,104,79,688,940,157,62
専門学校 学費,2.494,-0.103,4.436,987,16005,5181,9673,557,870,2125,7721,3498,469,228
名城大学 学費,2.492,-0.012,7.704,339,5510,1906,3211,221,225,182,2403,2036,124,88
私立大学 受験料,2.486,-5.788,14.154,103,1683,581,943,101,55,91,758,508,67,19
ナジック学生マンション,2.483,10.969,6.496,459,7522,2655,4411,239,695,277,2231,3455,346,67
大学費用,2.483,-0.005,7.911,276,4524,1531,2737,52,158,942,2284,866,82,36
フレッシャーズスーツ,2.483,68.902,10.032,148,2426,612,1661,52,118,74,968,1072,48,29
佐賀大学 入試,2.483,11.539,13.154,128,2099,868,1033,89,65,55,645,932,125,66
2023共通テスト難易度,2.482,3.13,11.883,104,1706,572,976,96,45,9,523,839,83,35
大学 入学式 服装 男性,2.479,66.497,7.501,282,4642,1477,2896,98,52,53,2194,2022,87,31
共通テスト ボーダーとは,2.478,-12.296,12.9,98,1614,489,986,163,48,21,657,620,22,10
摂南大学 入試,2.476,11.019,11.557,121,1997,796,1028,234,83,56,627,767,87,50
共通テスト成績請求票とは,2.476,25.098,12.653,106,1750,515,1048,259,43,16,660,649,28,5
学生会館,2.474,3.478,7.566,287,4749,1568,2892,150,279,219,1684,1981,226,73
宮崎大学 出願状況 2023,2.474,35.051,11.997,99,1638,584,926,88,69,24,520,739,90,38
大学オープンキャンパス 服装,2.472,-112.946,13.661,100,1658,346,1109,217,27,23,716,513,31,6
近畿大学 出願状況,2.471,22.464,8.932,165,2737,954,1538,304,98,24,831,1192,94,61
北九州予備校 費用,2.471,11.914,11.615,124,2058,825,1093,74,51,70,749,929,90,28
大学志望理由書 書き方 例文,2.469,-4.964,10.409,143,2378,717,1353,438,112,30,659,873,72,11
福岡大学 合格発表,2.462,17.886,7.452,244,4083,1636,2102,306,181,107,1236,1680,237,140
九州産業大学 入試,2.462,-45.636,13.747,99,1657,679,795,174,63,49,502,645,80,42
浪人 予備校,2.46,36.669,10.523,160,2684,894,1570,208,91,41,927,1203,81,30
十八歳 クレジットカード,2.458,23.337,13.829,144,2421,828,1434,185,124,134,1068,754,60,35
西南学院大学 学費,2.457,-0.026,12.613,145,2440,810,1432,122,126,114,950,883,91,44
埼玉大学 学費,2.456,3.154,12.937,107,1802,610,1073,60,77,98,832,596,45,29
関西学院大学 学費,2.453,-0.818,7.475,356,6012,2026,3533,226,173,196,2398,2426,203,142
大学受験 全落ち,2.452,23.504,11.888,136,2299,529,1572,142,45,27,911,992,48,32
