検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
公立高校 学費,2.935,-0.002,16.303,57,27333,9208,16445,399,782,4702,15198,4374,658,470
明光義塾 夏期講習 料金,2.916,-11.125,30.285,13,6351,1060,4900,91,34,585,4022,1318,75,58
森塾 授業料,2.909,24.119,28.165,22,10826,1788,8461,117,85,1287,6792,2134,115,74
塾代助成費用,2.908,-0.0,9.88,82,40395,11870,27032,148,266,9234,24252,5287,508,239
第一ゼミナール,2.897,0.002,18.219,13,6474,2044,3997,140,176,680,3514,1438,200,110
日能研 費用,2.896,-0.282,19.719,12,5985,1114,4597,28,72,1332,3663,565,127,86
通信教育 ランキング,2.895,12.041,35.216,17,8483,1532,6524,49,128,2037,4059,1510,424,122
スクールie,2.891,-0.031,12.966,82,41081,10510,27973,1030,1118,4146,22662,9227,1091,629
中学生 読書感想文,2.888,-78.832,27.866,10,5025,1072,3650,94,45,535,3192,937,50,29
春期講習,2.887,32.567,25.716,10,5033,912,3791,82,62,695,3079,870,67,54
個別教室のトライ,2.883,4.099,27.818,27,13641,3772,8923,567,837,1313,6738,3304,320,111
国大セミナー,2.876,0.56,36.433,11,5595,1814,3429,114,192,620,3145,1173,138,68
スタサプ 中学講座,2.872,26.584,26.367,18,9191,1786,6881,96,48,673,5968,2038,133,60
数学 中学1年,2.852,-6.681,41.519,12,6249,1956,3653,256,212,644,3131,1097,249,223
高校 偏差値,2.844,-0.074,22.916,41,21531,9884,10237,799,973,2711,9955,5143,868,342
東進ハイスクール 料金,2.839,0.059,33.69,11,5804,1563,3906,190,86,241,3137,1894,74,38
アクシス 塾,2.837,13.576,24.511,14,7401,1679,5208,272,228,576,4019,1818,154,85
ナビ個別指導学院,2.809,0.005,14.011,35,19033,4822,12870,554,999,2597,10232,3389,384,171
個別指導 キャンパス,2.79,5.84,31.502,18,9981,2515,6772,287,403,1087,5408,2147,212,91
やる気スイッチ 塾,2.788,-0.001,43.7,10,5555,1304,3903,118,259,806,2997,1044,129,51
私立中学 学費,2.787,15.157,25.781,28,15571,4677,10237,57,278,4029,8574,1809,338,255
0120569069,2.778,-109.811,26.252,11,6170,1249,4626,23,26,921,4376,611,52,52
トライ 個別指導,2.777,0.006,12.259,39,21905,4501,15976,563,376,1018,10562,7415,867,443
ena 塾,2.773,2.654,25.193,25,14100,2631,10866,172,180,1692,8957,2514,197,176
全国小学統一テスト,2.772,-6.109,43.166,19,10720,2660,7597,37,47,2402,6643,1111,198,109
塾ナビ,2.771,7.318,22.039,24,13556,3989,9021,173,284,1258,7529,3632,352,147
中学校 偏差値 ランキング,2.768,-2.958,21.098,11,6232,2749,3101,133,94,900,3059,1246,301,282
0120984722,2.764,-7.653,36.444,19,10814,2732,7547,113,53,1126,7418,1782,68,63
itto 個別指導学院,2.746,42.318,24.764,20,11582,3870,7026,252,372,1291,6181,2714,351,139
高校受験,2.741,36.106,13.649,65,37843,10525,24697,942,705,2727,20665,9431,1051,949
z会 中学受験コース,2.739,0.995,20.619,14,8165,1617,6195,29,19,1466,5541,841,83,90
チャレンジタッチ 料金,2.72,-0.579,36.222,13,7731,1466,5928,32,55,2546,4367,476,74,58
トライプラス,2.72,15.552,32.23,11,6542,2078,4026,236,281,588,3289,1620,249,81
フォーエイト enn,2.717,-38.008,33.14,10,5966,1603,3843,273,841,1950,2026,415,76,41
内申点とは,2.71,10.704,23.763,29,17414,5114,10976,476,423,2403,9603,3201,347,249
内申点の出し方,2.702,-13.812,30.729,29,17562,3698,12444,794,212,1262,10484,3724,189,149
中学受験 塾選び,2.702,-5.025,33.311,15,9081,1764,6930,31,58,2016,5695,867,178,103
高校生 塾,2.702,39.07,34.905,10,6052,1520,4057,323,79,194,2984,1929,163,137
進研ゼミ中学講座,2.688,-0.094,12.558,90,55243,11182,40724,818,286,4651,36208,10918,506,439
ブイ模擬,2.676,57.851,36.109,10,6213,1188,4546,332,147,326,3437,1654,50,27
中学生 ファッション 男子,2.672,-17.034,33.355,15,9356,1858,6781,210,76,1063,5916,1476,114,102
千葉 高校 偏差値,2.669,-7.693,31.415,12,7511,3509,3658,172,410,1219,3459,1740,260,79
学力テスト,2.668,-0.591,35.882,13,8142,2804,4761,227,459,1268,3901,1377,395,210
フリーステップ,2.661,0.324,24.972,19,11978,3412,7678,513,578,897,5862,3299,300,108
個太郎塾,2.65,69.429,34.606,12,7651,1960,5221,158,212,699,4193,1901,185,93
私立大学 学費,2.648,-0.001,19.419,44,28105,9985,16285,827,1050,3376,13956,6669,801,530
エベレス,2.637,0.002,49.751,11,7103,1975,4639,229,58,350,4281,1773,110,90
高校 授業料 無償化,2.631,14.21,34.293,11,7152,2894,3981,36,173,1406,3725,1378,266,68
大学受験 塾,2.631,0.0,40.362,11,7152,1923,4659,518,178,281,3248,2446,148,74
くもん 月謝,2.622,0.001,15.099,49,32116,6669,23854,132,1230,11714,14007,2427,1286,679
クリスマスプレゼント 小6,2.619,-27.262,25.917,13,8546,2650,5316,158,27,964,5470,1166,239,180
中3 行方不明,2.612,17.048,32.849,13,8612,1660,6411,144,317,1248,3994,2164,392,109
生活費 平均 4人家族,2.607,9.035,25.236,16,10653,3991,6149,49,268,3314,5108,1396,242,85
ライフプラン シミュレーション,2.595,9.464,28.109,13,8761,2441,6010,13,622,3736,3062,986,193,47
東京個別指導学院 料金,2.595,3.776,21.353,11,7412,1269,5710,204,71,525,4293,2028,89,48
晩御飯 子供が喜ぶ,2.588,-139.04,30.618,11,7465,2642,4313,36,240,2270,3427,983,184,77
チャレンジ 中学講座,2.586,48.029,31.567,22,14958,3164,10977,242,61,1011,10083,2983,117,111
塾代助成,2.573,-138.528,30.84,10,6887,2332,4300,25,81,1487,4052,1014,72,69
創英ゼミナール,2.569,0.068,42.054,16,11059,3001,7430,244,408,1168,5994,2594,267,120
z会 タブレット,2.568,-77.139,44.928,15,10377,2697,7217,152,51,1750,6243,1754,160,109
卒業式 小学校 男子,2.564,10.53,24.06,16,11113,1360,9111,29,20,1747,7806,1092,95,80
大学費用いくら必要,2.562,47.641,26.322,18,12528,3777,8065,79,371,2968,6546,1971,218,105
偏差値50 どのくらい,2.56,59.388,24.888,22,15347,3978,10095,703,593,2332,6825,3056,692,434
進研ゼミ 退会,2.558,20.31,29.838,28,19569,3724,14996,156,67,3258,12523,3006,158,123
z会 中学生,2.556,0.398,29.855,16,11207,2790,7890,122,33,591,7139,2859,148,141
そろばん 効果,2.553,46.815,46.854,10,7028,1637,4984,57,118,2070,3637,653,201,133
チャレンジタッチ 退会,2.55,7.29,22.123,32,22544,3890,17772,85,87,6218,13917,1694,146,109
野田塾,2.549,0.216,33.291,15,10576,3305,6610,257,250,1082,5876,2231,343,209
高校無償化 私立高校,2.544,76.698,43.648,10,7091,2764,3996,31,63,906,3843,1747,288,102
ベネッセ 退会手続き,2.543,11.915,33.198,13,9222,1072,7792,28,111,2514,5531,848,46,44
05031812403,2.537,18.521,24.878,14,9994,1914,7573,50,51,1300,6962,1248,118,104
イットー個別指導学院,2.535,0.015,19.054,32,22889,4433,16726,571,580,2575,13914,3931,319,179
公立中高一貫校,2.522,-47.325,34.815,11,7973,1640,5971,57,84,1424,4868,1101,188,128
算数検定,2.52,-84.392,26.018,29,21059,5095,15047,129,199,4195,12574,2739,534,365
中学受験 偏差値,2.52,0.357,22.906,20,14518,5418,8434,132,297,1881,7715,3179,565,483
高校受験 勉強方法,2.511,142.261,38.414,10,7330,1876,4763,381,117,381,4067,1781,119,101
0120 426 956,2.507,20.073,46.039,12,8826,1662,6890,38,61,2858,5175,553,41,31
お小遣い 平均,2.502,92.002,67.391,11,8136,3646,4093,96,829,2620,2976,1050,212,141
大学受験 塾選び,2.5,5.288,13.434,17,12589,2862,8794,575,109,178,6131,4905,183,103
勉強できない子 特徴,2.498,-5.507,22.145,32,23756,5156,16630,567,466,3401,12841,4644,483,294
子供 携帯 おすすめ,2.49,40.666,48.958,10,7482,3235,3973,13,54,2279,4293,620,89,45
城南コベッツ,2.487,65.84,43.68,10,7505,2091,4959,202,301,643,3928,1991,181,74
専業主婦 割合,2.484,-0.953,31.187,11,8279,2470,5373,63,961,2474,2786,1413,320,80
自主学習,2.483,-16.839,37.52,16,12061,2770,8051,416,193,2046,6793,1339,252,210
東京 高校 偏差値,2.477,5.101,29.694,16,12129,5361,6130,375,712,1604,5515,2995,465,182
武田塾 料金,2.476,0.011,17.671,21,15938,4939,9852,1041,496,787,7072,5521,332,148
進研ゼミ 小学講座,2.475,-27.07,34.858,14,10639,2645,7618,49,128,3149,6087,889,133,90
年収 中央値,2.472,38.468,42.708,14,10666,7898,2397,48,1695,4024,3466,1007,218,80
中学生 お小遣い,2.471,-101.632,36.389,14,10682,2913,7210,167,112,1870,6683,1483,83,53
進研ゼミ 中学講座,2.47,0.465,16.603,10,7631,1746,5500,138,71,860,4993,1323,54,44
公文 月謝,2.467,-0.001,18.303,29,22204,4542,16724,63,463,6733,11332,2257,711,317
栄光ゼミナール,2.464,-0.572,18.114,59,45332,12518,30406,742,954,4378,25744,10615,1214,724
明光義塾,2.461,0.012,11.959,91,70097,21739,43622,1765,2145,7290,36631,16406,2530,1043
スマイルゼミ 退会,2.453,0.051,23.996,29,22510,4371,17253,88,72,5340,13912,2506,207,118
そろばん 何歳から,2.447,0.548,34.656,12,9370,1025,7869,20,149,3902,4345,387,272,114
チャレンジ 努力賞ポイント交換,2.446,-19.054,29.713,18,14076,1987,11510,107,57,3238,9303,1032,64,83
7才 身長 体重 平均,2.443,-26.954,27.606,12,9412,1895,7085,33,144,3222,4495,595,486,255
森塾,2.442,0.004,14.927,47,36899,8206,26430,844,909,3779,20773,8301,844,364
機能制限 iphone オフ,2.439,16.471,53.458,10,7873,2313,4850,496,370,1069,3945,1320,143,82
百分率とは,2.438,-16.454,32.253,12,9460,3259,5412,311,670,1605,4682,1207,346,185
小学生 スマホ,2.427,36.546,49.368,10,7969,2860,4787,80,245,2249,4418,746,80,49
家庭教師 トライ,2.426,-0.268,15.552,39,31126,10092,19156,298,695,2943,15196,8835,1712,591
シングルマザー 生活費,2.418,-22.492,43.525,13,10457,1168,8768,42,656,3960,4424,886,190,91
単身赴任 生活費,2.418,-27.551,41.243,11,8842,2931,5493,22,170,1860,4301,2060,208,52
v模擬,2.413,41.588,33.01,17,13737,3862,9079,466,348,620,7058,4558,273,113
pta 役員決め,2.411,-2.763,41.605,13,10522,1861,8124,30,142,2965,5773,1150,181,97
ワイモバイル 親子割,2.41,27.71,50.034,10,8104,3445,4458,92,243,1762,4265,1532,114,62
臨海セミナー,2.409,0.017,13.013,66,53546,14358,36163,1194,919,4763,30571,12865,1228,684
勉強 やる気でない,2.409,-4.45,26.922,18,14602,4266,7792,2831,2227,1575,3977,1931,197,181
三井住友銀行 住宅ローン,2.399,-28.276,41.834,14,11474,7322,3858,16,506,3923,4363,2042,441,97
育休 社会保険料免除,2.397,-118.462,49.71,10,8209,4297,3682,7,572,4041,1902,1017,482,118
松陰塾,2.385,-0.01,21.4,20,16628,5201,10466,283,297,2082,8718,3543,838,400
スマイルゼミ 口コミ,2.385,-0.005,32.759,17,14130,2260,11223,42,128,4650,7574,1162,237,95
often,2.384,10.17,48.996,12,9987,3245,5853,833,786,1450,4281,1522,383,191
とある男が授業,2.381,-38.419,37.36,12,10010,2264,6781,567,192,633,5300,2284,305,175
通信教育,2.379,49.347,28.546,18,15043,4858,9374,83,542,2155,5566,4346,1525,473
私立高校 無償化,2.377,12.725,15.907,78,65320,16950,45001,397,487,7678,39517,13293,1549,1016
生活費 平均 3人家族,2.375,-18.849,22.492,10,8396,2988,4990,26,420,2854,3099,1451,294,83
スポーツ振興センター,2.374,34.938,47.389,16,13444,3002,9819,72,631,2948,6368,2539,519,144
通信制高校 学費,2.371,-19.102,30.842,10,8427,2214,5636,404,230,757,4122,2321,228,99
卒業式 小学校 女子,2.37,56.839,19.211,32,26984,3443,21812,224,85,4028,17967,3225,363,288
思春期 男子 特徴,2.368,14.928,45.444,12,10141,1883,7555,147,227,1285,5732,2038,220,154
家庭教師,2.367,-0.001,9.427,41,34682,14626,17933,781,2047,4269,15000,8329,2130,1062
受験,2.364,16.464,28.797,16,13579,4900,7509,733,599,1470,5226,3624,786,465
子供 コロナワクチン,2.36,-110.007,34.766,16,13629,2485,10522,33,166,4354,7449,1161,178,78
早稲田アカデミー,2.358,0.009,12.181,76,64895,20091,41646,801,1131,7308,36704,14323,1971,1422
市進学院,2.358,-0.003,20.409,23,19646,5955,12669,317,327,2001,11356,4482,502,267
偏差値 計算,2.357,-18.462,30.433,28,23935,9373,12482,2089,1621,3148,11022,3910,575,441
関東 子供とお出かけ 人気,2.357,-46.258,22.967,11,9405,3993,5110,12,443,4829,3433,389,151,39
留学 費用,2.351,-0.059,36.677,15,12900,3609,8248,641,1973,1506,4402,3324,373,170
高校無償化,2.35,2.039,26.636,23,19791,8137,10817,95,389,4124,10495,3613,580,201
進研ゼミ,2.349,1.103,15.511,81,69794,25998,40767,1163,1616,13743,35322,13748,2055,1003
教師 年収,2.344,-27.12,46.709,10,8658,3929,4008,542,1601,2203,2465,1082,245,96
スポーツ刈り 子供,2.338,46.45,57.747,10,8708,2182,6084,31,108,2602,5038,565,102,55
京進,2.33,-0.003,13.143,13,11420,4194,6518,239,413,1289,5655,2594,577,313
読書感想文 書きやすい本,2.32,-127.273,33.161,19,16844,3231,11628,1572,329,2667,8630,2026,180,118
専門学校 学費,2.317,-13.795,32.584,18,16005,5181,9673,557,870,2125,7721,3498,469,228
都立中高一貫校,2.312,18.875,32.098,15,13406,2939,9869,64,114,1781,7862,2336,493,542
小学校 卒業式 服 女子,2.312,-20.03,41.084,11,9836,1661,7581,68,65,1420,6001,1519,296,189
スマイルゼミ 料金,2.31,0.505,27.052,29,25978,3992,20977,85,345,9790,12750,1755,642,266
人権作文の書き方,2.299,-39.616,42.115,18,16302,3345,10970,1007,221,1537,9058,2655,279,195
トライ,2.297,24.197,20.329,25,22693,9199,12069,621,738,1618,7937,7334,2601,1149
中高一貫校,2.296,-26.399,19.996,32,29057,8055,19395,326,514,3216,15230,6864,1358,887
つくし野アスレチック,2.295,77.066,40.079,16,14557,5136,8772,118,444,3406,7857,1811,396,248
京都 高校 偏差値,2.291,7.996,47.438,10,9133,4055,4486,217,540,1155,4129,2204,436,144
スプラトゥーン3 オンライン,2.289,-33.7,50.135,10,9146,4808,3891,153,508,2606,4720,813,96,55
教科書ワーク,2.287,-150.26,50.15,10,9167,1610,7021,113,86,1488,5676,1342,149,105
東京個別指導学院,2.286,3.742,24.29,24,22025,7420,13234,875,1251,1892,9762,6519,792,330
自由研究 中学,2.285,-61.818,20.696,31,28470,7370,17986,1603,339,2069,16732,5050,338,237
電子辞書 おすすめ,2.285,101.758,30.324,13,11942,4660,6546,223,226,853,5021,3257,1070,923
高校偏差値 2023,2.282,86.192,28.885,24,22102,11184,9506,380,367,1045,7753,7705,2689,1333
中学生 髪型 男子,2.281,13.218,21.173,62,57197,14378,38813,1152,364,5943,37106,9494,504,501
不登校 中学,2.276,-16.728,40.602,13,12050,2957,8244,170,137,764,6768,3095,363,312
自由研究 6年生,2.275,-115.606,33.208,12,11136,2446,7932,178,74,1518,7280,1438,140,123
チャレンジ 退会,2.274,-15.721,24.24,20,18571,2259,15541,55,115,5575,11055,1318,124,90
英検 合格ライン,2.273,-70.829,45.043,11,10229,2428,6971,801,253,895,5610,2006,136,88
中学生 髪型 女子,2.272,67.928,34.47,19,17672,2919,13044,657,145,1790,10522,3136,225,182
5年生 算数,2.27,-95.975,59.821,10,9323,2438,6255,118,125,1578,5260,1175,441,290
卒業式 母 髪型,2.268,79.839,21.924,14,13085,970,11385,44,43,2539,8732,1284,70,62
子供 スマホ,2.268,-45.876,47.358,10,9341,3950,5032,30,131,2799,5289,809,87,64
偏差値 求め方,2.251,42.277,32.156,18,17110,6838,8397,990,1225,2265,6846,3367,624,563
偏差値 60 どのくらい,2.245,36.087,19.545,37,35360,14632,17899,1159,1378,4908,14091,7735,2654,1797
さくらや 制服リユース,2.244,-1.338,59.039,11,10524,1506,8510,71,75,1367,5616,2818,284,103
中学受験 ブログ,2.241,45.408,29.898,12,11518,2498,8424,68,57,1352,7431,2050,192,167
usually,2.23,0.968,48.329,10,9704,3166,5641,755,983,1359,4037,1456,381,199
食費 平均 4人家族,2.228,-3.784,30.863,19,18476,5297,12202,96,329,5075,9156,2887,406,145
酔い止め こども,2.226,19.448,35.888,12,11688,1597,9522,51,93,3607,6643,866,158,71
ストレッチ 寝る前,2.223,85.87,36.029,11,10750,2953,7092,101,601,1874,3820,2630,960,376
不登校 対応,2.221,26.224,44.352,12,11753,4424,6640,122,607,1035,5015,3218,917,529
固定資産税 いくら,2.217,23.657,29.147,26,25564,10565,14001,63,2790,11077,7873,2372,684,308
中卒でできる仕事,2.214,74.883,54.532,11,10849,3856,6106,520,718,1287,4943,2469,318,122
単身赴任 子供への影響,2.213,-109.197,41.993,10,9872,3992,5411,33,397,3731,4627,684,140,78
卒業式 髪型,2.213,64.478,44.088,10,9867,1099,7792,632,1604,1219,4458,1196,176,89
就学前検診,2.209,22.607,24.239,10,9910,1025,8405,14,290,4709,4122,396,163,52
高校無償化 所得制限,2.206,14.04,18.756,63,62622,20216,39786,222,608,11973,36821,10525,1000,557
英単語 覚え方,2.204,-30.889,35.33,19,18925,5959,10698,2318,1238,1989,7412,3524,705,326
秀英予備校,2.203,-19.955,27.712,25,24928,7764,15585,741,748,2330,13366,5866,728,385
小数点の割り算,2.199,15.578,31.883,12,12007,3436,7886,113,332,2526,6189,1780,523,237
因数分解 公式 一覧,2.198,29.882,34.325,19,19029,7813,9524,1238,1536,1965,7321,4069,1221,650
マイナポイント 電子マネー,2.196,101.411,48.63,10,10040,4213,5424,28,504,2711,3947,1977,520,206
湘南ゼミナール,2.195,-1.118,33.289,15,15079,4161,10085,342,383,1369,8653,3502,317,175
立ち幅跳び 平均 年齢別,2.195,-16.31,40.189,11,11060,5053,5288,345,830,2842,5123,1198,236,113
z会 小学校,2.194,-24.431,31.026,16,16100,3274,12132,46,58,3606,10123,1514,327,227
英検4級過去問,2.194,3.867,37.122,12,12069,3361,8028,314,146,1004,6822,2700,442,298
手取り40万,2.192,0.295,37.399,15,15120,8729,5800,44,1198,5113,6061,2057,268,105
百ます計算,2.186,-52.431,46.587,10,10146,2752,6902,144,598,2542,4601,1265,549,252
学研教室,2.184,-1.364,17.684,46,46723,6802,37522,220,547,13123,23692,5076,2265,844
スプラトゥーン3 セーブ方法,2.184,-1.688,31.753,10,10157,4700,5003,200,830,3565,4610,602,87,52
高校授業料無償化,2.182,10.192,37.152,14,14252,6167,7317,82,184,1486,6739,3892,1068,452
反抗期 娘 疲れた,2.181,-57.01,44.972,10,10188,1465,8126,68,70,1417,6275,1882,132,101
通学リュック,2.175,48.63,26.186,11,11280,2801,7417,901,346,982,5889,2266,197,113
高校受験 日程 2023,2.174,123.398,37.182,12,12318,4041,7469,302,617,1726,5275,3028,643,318
英検5級,2.173,-27.353,19.529,47,48297,10827,34786,453,528,8065,30437,5350,1250,987
switch オンライン 料金,2.173,7.169,24.191,16,16434,7588,7921,466,2623,5808,5882,1062,137,70
旦那 ストレス,2.169,-23.882,29.63,19,19590,1644,16762,46,1028,6830,7284,3253,532,120
偏差値とは,2.165,0.915,15.782,79,81835,37254,39122,1124,3165,13010,32179,16152,7468,5639
卒業式 服 母,2.163,56.169,24.126,33,34259,3195,28796,133,188,4317,20024,7937,503,233
反抗期 時期,2.162,1.967,33.702,12,12467,4440,7243,175,471,2796,5403,1917,915,385
05031520805,2.16,-59.056,29.406,14,14569,2881,11001,52,67,1873,10112,1889,190,154
絶対値とは,2.157,49.046,37.492,20,20881,7998,10955,1182,1227,2277,9382,4136,924,501
家庭教師 個人契約,2.156,-3.963,36.672,11,11498,3643,7255,187,955,1173,5312,2969,491,188
思春期 女子 特徴,2.153,-14.731,36.06,14,14672,2817,10745,333,351,1860,8102,2812,366,263
私立小学校,2.15,6.547,34.611,12,12618,3040,8956,103,407,3211,5948,1755,669,271
05031741856,2.15,-101.042,39.833,11,11559,2109,8932,49,62,1746,8113,1184,137,84
飛行機 子供料金,2.145,3.922,36.939,14,14796,4908,9412,25,670,7529,5161,704,408,132
夏休み 子供 体験,2.139,-98.076,31.513,21,22327,4279,16810,44,127,5761,12678,2265,638,346
概数とは 4年生,2.139,-61.205,41.192,13,13816,3884,9129,111,214,3112,7963,1527,363,153
スイッチ 修理,2.137,-9.167,39.991,11,11715,5695,5573,124,576,2866,6102,1585,204,72
35歳 平均年収,2.133,-70.255,44.447,12,12837,9158,3267,22,497,10618,574,348,463,133
少子化対策 2023,2.132,120.461,32.717,12,12839,5837,6409,95,837,4306,4313,1855,810,362
株 確定申告,2.131,32.026,37.707,11,11791,7098,4352,19,806,3573,4015,2315,775,192
