企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
ラ・ロッシュ・ポゼ,https://www.laroche-posay.jp/lp/,Meta,敏感肌向け化粧品通販,,,ロレアル系・皮膚科推奨
スカルプDボーテ（アンファー）,https://www.angfa.jp/beaute/lp/,Meta,女性向け育毛・ヘアケア通販,,,アンファー女性ライン
ゴルフ5,https://www.golf5.jp/lp/,Meta,ゴルフ用品EC,,,アルペン系・全国展開
スポーツデポ,https://www.sports-depo.jp/lp/,Meta,スポーツ用品EC・実店舗,,,アルペン系・全国展開
ゴルフダイジェスト・オンライン（GDO）,https://shop.golfdigest.co.jp/lp/,Meta,ゴルフEC・予約,,,業界最大級ゴルフポータル
スイングスポーツ,https://www.swing-sports.co.jp/lp/,Meta,ゴルフスクール・練習場,,,関東中心複合施設
TRAINER'S GYM,https://trainersgym.jp/lp/,Meta,パーソナルジム,,,全国20店舗規模
ライフフィットジム,https://www.lifefit.co.jp/lp/,Meta,パーソナルジム（FC）,,,FC展開中・成長期
ビーライフ,https://www.b-life.tv/lp/membership/,Meta,オンラインヨガ（サブスク）,,,YouTube発D2C・急成長
ヨガワークス,https://www.yogaworks.co.jp/lp/,Meta,ヨガスタジオ,,,全国30スタジオ
スポーツクラブNAS,https://www.nas-club.co.jp/lp/,Meta,フィットネスクラブ,,,首都圏中心・全国40施設
東急スポーツオアシス,https://www.sportsoasis.co.jp/lp/,Meta,フィットネスクラブ,,,東急グループ・首都圏展開
シアーミュージック,https://www.sheer.jp/lp/,Meta,音楽スクール（マンツーマン）,,,全国230校・急成長
EYS音楽教室,https://eys-kids.com/lp/,Meta,子ども音楽教室,,,全国展開・習い事特化
ヤマハ音楽教室,https://jp.yamaha.com/services/music_lessons/lp/,Meta,音楽教室（FC）,,,ヤマハ系・全国展開
マーシャルアーツジム,https://www.ma-gym.co.jp/lp/,Meta,格闘技・武道ジム（FC）,,,キックボクシング等FC
武田塾,https://www.takeda.tv/lp/,Meta,個別指導塾（FC）,,,全国430校・逆転合格特化
四谷学院,https://www.yotsuyagakuin.com/lp/,Meta,大学受験予備校,,,能力別個別指導
総合資格学院,https://www.shikaku.co.jp/lp/,Meta,建築士資格スクール,,,建築系資格特化
ヒューマンアカデミー,https://haa.athuman.com/lp/,Meta,資格・スクール（FC）,,,全国展開・多分野資格
コードキャンプ,https://codecamp.jp/lp/,Meta,オンラインプログラミングスクール,,,転職支援付き・中規模
ディープロ,https://de-pro.jp/lp/,Meta,動画制作・プログラミングスクール,,,ダブルスキル特化
グロービス経営大学院,https://mba.globis.ac.jp/lp/,Meta,ビジネス・MBA教育,,,社会人向け・全国展開
ライザップEnglish,https://english.rizap.jp/lp/,Meta,英語コーチング,,,RIZAP系・短期集中
トライズ,https://toraiz.jp/lp/,Meta,英語コーチング（1年継続型）,,,英語習得保証特化
ENGLISH COMPANY,https://www.english-company.jp/lp/,Meta,英語コーチング,,,科学的メソッド特化
Kimini英会話,https://kimini.online/lp/,Meta,オンライン英会話,,,学研グループ・月額制
シェーン英会話,https://www.shane.co.jp/lp/,Meta,英会話スクール,,,首都圏中心・全国80校
イーオン,https://www.aeonet.co.jp/lp/,Meta,英会話スクール,,,全国270校・中堅
ベルリッツ,https://www.berlitz.com/ja-jp/lp/business/,Meta,ビジネス英語スクール,,,外資系・法人研修も展開
ロゼッタストーン,https://www.rosettastone.co.jp/lp/,Meta,語学学習（アプリ・通信）,,,アプリ型語学学習
産経ヒューマンラーニング,https://www.sankeiedu.co.jp/lp/,Meta,英会話・語学スクール,,,産経グループ・中規模
e-Live（イーライブ）,https://e-live.co.jp/lp/,Meta,オンライン家庭教師,,,中規模・急成長
家庭教師のトライ,https://www.trygroup.co.jp/kateikyoushi/lp/,Meta,家庭教師派遣,,,全国展開・中堅
日本マンパワー,https://www.nipponmanpower.co.jp/lp/,Meta,キャリアコンサルタント養成,,,資格・キャリア教育中堅
ビズアップ総研,https://www.bmc-net.jp/lp/,Meta,中小企業向け経営セミナー,,,経営・マーケ特化スクール
ほけんの窓口,https://www.hokennomadoguchi.com/lp/,Meta,保険相談（来店型）,,,全国600店舗
スーモカウンター,https://counter.suumo.jp/lp/,Meta,注文住宅・リフォーム相談,,,リクルート系・無料相談
住まいの窓口（LIFULL）,https://www.homes.co.jp/madoguchi/lp/,Meta,住宅購入相談,,,LIFULL系・無料相談
ウチノカチ,https://uchinokachi.com/lp/,Meta,不動産売却一括査定,,,オンライン完結型
スマイエ,https://www.smaie.com/lp/,Meta,賃貸・売買仲介（オンライン）,,,オンライン完結型不動産
グリーン司法書士法人,https://green-s.jp/lp/,Meta,過払い金・債務整理,,,借金整理特化
みんなの相続,https://minna-souzoku.com/lp/,Meta,相続・遺産整理相談,,,相続特化ポータル
辻・本郷税理士法人,https://www.ht-tax.or.jp/lp/souzoku/,Meta,相続税申告（税理士法人）,,,相続専門・中堅規模
しゅふJOB,https://part.shufu-job.jp/lp/,Meta,主婦・パート求人,,,主婦向け特化求人
バイトル,https://www.baitoru.com/lp/,Meta,アルバイト求人,,,ディップ運営・上場
はたらいく,https://www.hataraiku.com/lp/,Meta,地域密着型求人,,,リクルート系・地方求人特化
キャリアスタート,https://career-start.jp/lp/,Meta,第二新卒・既卒就職支援,,,書類選考なし特化
てきぱきワークス,https://tekipaki.jp/lp/,Meta,スキマバイトマッチング,,,スポット派遣特化・成長中
くらしのマーケット,https://curama.jp/lp/,Meta,生活サービスマッチング,,,ハウスクリーニング等プラットフォーム
ユアマイスター,https://yourmystar.jp/lp/,Meta,ハウスクリーニングマッチング,,,成長中・中規模
なんぼや,https://nanboya.com/lp/,Meta,ブランド品・金買取,,,全国130店舗・急成長
エコリング,https://www.eco-ring.com/lp/,Meta,ブランド品・不用品買取,,,全国200店舗超・成長中
ラクサス,https://laxus.co/lp/,Meta,ブランドバッグレンタル（サブスク）,,,D2Cサブスク・上場
ギャラリーレア,https://www.gallery-rare.com/lp/,Meta,ブランド品買取,,,全国展開・高級ブランド特化
ブランドオフ,https://www.brand-off.com/lp/,Meta,ブランド品買取・販売,,,全国50店舗・中堅リユース
カーセンサー,https://www.carsensor.net/lp/,Meta,中古車情報・売却,,,リクルート系
楽天Car車買取,https://car.rakuten.co.jp/service/buy/lp/,Meta,中古車買取,,,楽天グループ
ズバット車買取比較,https://car.zba.tt/lp/,Meta,車一括査定,,,中古車買取比較サービス
おとなの自動車保険,https://www.ins-saison.co.jp/otona/lp/,Meta,自動車保険（ネット完結）,,,セゾン系・中規模
チューリッヒ自動車保険,https://www.zurich.co.jp/car/lp/,Meta,自動車保険（ネット完結）,,,外資系・中規模
SBI損保,https://www.sbisonpo.co.jp/car/lp/,Meta,自動車保険（ネット完結）,,,SBIグループ
三井ダイレクト損保,https://www.mitsui-direct.co.jp/car/lp/,Meta,自動車保険（ネット完結）,,,三井住友グループ
ペット保険のPS保険,https://www.pshoken.co.jp/lp/,Meta,ペット保険,,,SBIグループ系・成長中
SBIいきいき少短（ペット保険）,https://pet.sbi-financial.co.jp/lp/,Meta,ペット保険（ネット完結）,,,中規模・成長フェーズ
ハチたま（ペット保険）,https://hachitama.jp/lp/,Meta,ペット保険,,,後発・成長フェーズ
いぬのきもち・ねこのきもち,https://pet.benesse.ne.jp/lp/,Meta,ペット情報・通販（定期購読）,,,ベネッセ系・中規模
ABEMA,https://abema.tv/lp/premium/,Meta,動画配信サービス,,,サイバーエージェント系
Hulu,https://www.hulu.jp/lp/,Meta,動画配信サービス（SVOD）,,,日本テレビ系・中規模
DAZN,https://www.dazn.com/ja-JP/news/lp/,Meta,スポーツ動画配信,,,スポーツ特化・成長中
カラオケの鉄人,https://www.karaoketessen.com/lp/fc/,Meta,カラオケ（FC）,,,関東中心FC展開
SOiL（ソイル）,https://soilshop.jp/lp/,Meta,インテリア雑貨EC（D2C）,,,北欧系インテリアD2C
武道屋,https://www.budoya.com/lp/,Meta,武道・格闘技用品EC,,,ニッチスポーツEC
バディネット（探偵）,https://buddynet.jp/lp/,Meta,探偵・浮気調査,,,全国展開・中規模
ラブ探偵事務所,https://lovetantei.com/lp/,Meta,探偵・浮気調査,,,成長中・中規模
総合探偵社ピンカートン,https://www.pinkerton.co.jp/lp/,Meta,探偵・浮気調査,,,老舗探偵事務所
結婚相談所ノッツェ,https://www.nozze.com/lp/,Meta,結婚相談所,,,全国300拠点・中堅
エクシオ,https://www.exeo-con.co.jp/lp/,Meta,婚活パーティー・街コン,,,全国展開・パーティー特化
街コンジャパン,https://machicon.jp/lp/,Meta,街コン・婚活イベント,,,国内最大級の街コンポータル
with（ウィズ）,https://with.is/lp/,Meta,マッチングアプリ,,,心理学ベース・成長中
