企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
CRASH GATE（クラッシュゲート）,https://www.crashgate.co.jp/lp/,Meta,インテリア・家具EC,,,成長中D2C
銀座よしえクリニック,https://yoshie-clinic.co.jp/lp/,Meta,美容皮膚科クリニック,,,都市部展開・中規模
エストクリニック,https://est-clinic.jp/lp/,Meta,美容外科クリニック,,,全国展開・成長中
恵比寿美容クリニック,https://ebc.ne.jp/lp/,Meta,美容皮膚科・美容外科,,,都市部展開・中規模
バイク館（SOX）,https://www.bikikan.co.jp/lp/,Meta,バイク販売FC,,,全国100店超・FC展開
レッドバロン,https://www.redbaron.co.jp/lp/,Meta,バイク販売FC,,,全国200店超・FC展開
cotree（コトリー）,https://cotree.jp/lp/,Meta,オンラインカウンセリング,,,急成長スタートアップ
ニコニコ動画プレミアム,https://premium.nicovideo.jp/lp/,Meta,動画配信・コミュニティサービス,,,ドワンゴ（KADOKAWA系）
ALINCO（アルインコ）,https://www.alinco.co.jp/lp/,Meta,フィットネス器具・健康器具EC,,,上場・全国展開
東武トップツアーズ,https://www.tobutoptours.co.jp/lp/,Meta,パッケージ旅行,,,東武グループ・中堅
プレシャスウォーター,https://precious-water.jp/lp/,Meta,天然水ウォーターサーバー,,,富士山麓天然水・中堅
西濃運輸引越サービス,https://www.seino.co.jp/lp/,Meta,引越しサービス（中堅）,,,西濃運輸グループ
公益社,https://www.koekisha.co.jp/lp/,Meta,葬儀（関西中心FC）,,,関西最大級・老舗
ブリーダーナビ,https://www.breedernavi.com/lp/,Meta,ペット（犬猫）販売マッチング,,,成長中プラットフォーム
みんなのブリーダー,https://www.min-breeder.com/lp/,Meta,ペット販売・ブリーダー直販,,,成長中・中規模
ロボ団,https://robodan.jp/lp/,Meta,子どもロボット・プログラミング教室FC,,,全国展開・成長中FC
Tech Kids School（テックキッズスクール）,https://techkidsschool.jp/lp/,Meta,子どもプログラミングスクール,,,サイバーエージェント系
Veltra（ベルトラ）,https://www.veltra.com/lp/,Meta,体験型旅行マーケット,,,上場・急成長
アクティビティジャパン,https://www.activityjapan.com/lp/,Meta,アウトドア体験・ツアー予約,,,成長中プラットフォーム
ハウステンボス,https://www.huistenbosch.co.jp/lp/,Meta,テーマパーク,,,HIS系・長崎
信濃湧水,https://www.shinanoyusui.co.jp/lp/,Meta,天然水ウォーターサーバー,,,信州天然水・成長中
Kyash（キャッシュ）,https://kyash.co/lp/,Meta,プリペイドカード・FinTech,,,急成長スタートアップ
STYLE STOIC（スタイルストイック）,https://stylestoic.com/lp/,Meta,男性向けスキンケアD2C,,,急成長D2C
THREE（スリー）,https://www.threecosmetics.com/lp/,Meta,オーガニックコスメD2C,,,アルビオン系・成長中
エン派遣,https://www.haken.en-japan.com/lp/,Meta,派遣求人サービス,,,エン・ジャパン系・上場
アウトソーシング（OSG）,https://www.outsourcing.co.jp/lp/,Meta,製造・物流系人材派遣,,,上場・全国展開
アデコ,https://www.adecco.co.jp/lp/,Meta,人材派遣・転職支援（外資系）,,,外資系大手・全国
トーセイ,https://www.tosei.co.jp/lp/,Meta,中古不動産リノベ・投資,,,上場・成長中
キャリアカレッジジャパン,https://www.c-c-j.com/lp/,Meta,通信資格講座（食・美容・IT等）,,,急成長・多分野資格
資格の大原,https://www.o-hara.ac.jp/lp/,Meta,資格スクール（公認会計士・税理士等）,,,全国展開・中堅
ドクターエア,https://www.dr-air.com/lp/,Meta,エアーマッサージャーD2C,,,急成長D2C健康器具
フジ医療器,https://www.fuji-ms.co.jp/lp/,Meta,マッサージチェアEC,,,中堅・直販強化中
Global Step Academy,https://globalstepacademy.com/lp/,Meta,バイリンガル教育（オンライン）,,,成長中・英語教育D2C
English First（EF）,https://www.ef.com/lp/,Meta,英会話スクール（外資系）,,,外資系・全国展開
ラクスル,https://raksul.com/lp/,Meta,ネット印刷・広告サービス,,,上場・急成長
ポニークリーニング,https://www.pony.co.jp/lp/,Meta,クリーニングFC,,,首都圏中心・FC展開
minimo（ミニモ）,https://minimonow.com/lp/,Meta,美容師・サロン予約マッチング,,,急成長プラットフォーム
Qoo10（キューテン）,https://www.qoo10.jp/lp/,Meta,ECマーケットプレイス,,,韓国系・日本で急成長
ノジマオンライン,https://online.nojima.co.jp/lp/,Meta,家電EC,,,ノジマグループ・上場
タカラスタンダード,https://www.takara-standard.co.jp/lp/,Meta,住宅設備（システムキッチン等）,,,上場・全国展開
ベネッセスタイルケア,https://kaigo.benesse-style-care.co.jp/lp/,Meta,介護施設・老人ホームFC,,,ベネッセ系・全国
MOSH（モッシュ）,https://mosh.jp/lp/,Meta,オンラインレッスン予約プラットフォーム,,,急成長スタートアップ
ストリートアカデミー（ストアカ）,https://www.street-academy.com/lp/,Meta,スキル習得・講座マーケット,,,成長中・上場
17LIVE（イチナナ）,https://17.live/lp/,Meta,ライブ配信アプリ,,,急成長・台湾発
Pococha（ポコチャ）,https://pococha.com/lp/,Meta,ライブ配信アプリ,,,DeNA系・急成長
デサント（DESCENTE）,https://www.descente.jp/lp/,Meta,スポーツアパレルD2C,,,上場・国内外展開
schoo（スクー）,https://schoo.jp/lp/,Meta,オンライン学習（ビジネス・IT）,,,上場・急成長
Udemy Japan,https://www.udemy.com/lp/,Meta,オンライン学習プラットフォーム,,,外資系・急成長
タイムチケット,https://www.timeticket.jp/lp/,Meta,スキルシェアマーケット,,,成長中・ニッチ特化
エコノバ,https://econoba.jp/lp/,Meta,外壁塗装・リフォーム一括比較,,,成長中プラットフォーム
マッハバイト,https://mach-baito.com/lp/,Meta,アルバイト求人,,,成長中・即採用特化
SHUUMATSU WORKER,https://shuumatsu.jp/lp/,Meta,副業・週末だけ働けるマッチング,,,急成長スタートアップ
Workship（ワークシップ）,https://goworkship.com/lp/,Meta,フリーランスマッチング,,,成長中・ニッチ特化
クラウドテック,https://crowd.cc/lp/,Meta,フリーランスエンジニアマッチング,,,レバレジーズ系・急成長
レバテック,https://levtech.jp/lp/,Meta,ITフリーランスマッチング,,,レバレジーズ運営・急成長
NANGA（ナンガ）,https://nanga.jp/lp/,Meta,ダウン製品D2C（寝袋・ジャケット）,,,国産ダウン特化・急成長
タビックスジャパン,https://www.tabix.jp/lp/,Meta,海外旅行ツアー,,,中堅旅行会社
