企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
ホームプロ,https://www.homepro.jp/,Meta,リフォーム一括見積,,,利用会員100万人超
doda,https://doda.jp/consultant/,Meta,転職エージェント,,,パーソルキャリア系
レアジョブ英会話,https://www.rarejob.com/,Meta,オンライン英会話,,,上場企業・累計120万人
ファンケル,https://www.fancl.co.jp/,Meta,化粧品・サプリ通販,,,上場大手
アート引越センター,https://www.the0123.com/,Meta,引越し,,,業界大手
リゼクリニック,https://www.rizeclinic.com/,Meta,医療脱毛クリニック,,,全国28院
スタディサプリ,https://studysapuri.jp/,Meta,通信教育（映像授業）,,,リクルート系
積水ハウス,https://www.sekisuihouse.co.jp/kodate/,Meta,注文住宅,,,上場大手ハウスメーカー
キューサイ,https://www.kyusai.co.jp/,Meta,健康食品通販,,,
駅前留学NOVA,https://www.nova.co.jp/,Meta,英会話スクール,,,全国300院以上
定額カルモくん,https://carmo-kun.jp/,Meta,カーリース,,,
大東建託,https://www.kentaku.co.jp/estate/lp/,Meta,土地活用・賃貸経営,,,上場大手
ストラッシュ,https://stlassh.com/,Meta,全身脱毛サロン,,,全国62店舗
DHC,https://www.dhc.co.jp/,Meta,サプリ・化粧品通販,,,大手D2C
タマホーム,https://www.tamahome.jp/,Meta,注文住宅,,,上場企業
イエウール,https://ieul.jp/,Meta,不動産一括査定,,,Speee運営
明光義塾,https://www.meiko-net.com/meikogijuku/,Meta,学習塾（FC）,,,全国1775教室
ベリーベスト法律事務所,https://www.vbest.jp/,Meta,法律事務所,,,全国75拠点
ニコニコカーリース,https://www.niconori.jp/,Meta,カーリース,,,もらえるカーリース
北の快適工房,https://www.kaitekikobo.jp/,Meta,化粧品・サプリ通販（D2C）,,,北の達人コーポレーション系
スタジオアリス,https://www.studio-alice.co.jp/,Meta,こども写真館,,,大手チェーン
フラコラ,https://www.fracora.com/,Meta,化粧品通販（D2C）,,,プラセンタ系
個別教室のトライ,https://www.kobekyo.com/,Meta,個別指導塾,,,全国展開
ハウスドゥ,https://www.housedo.com/,Meta,不動産売却・買取,,,上場FC展開
ライフネット生命,https://www.lifenet-seimei.co.jp/,Meta,生命保険（ネット完結）,,,上場企業
サカイ引越センター,https://www.hikkoshi-sakai.co.jp/,Meta,引越し,,,業界大手
弁護士ドットコム,https://www.bengo4.com/,Meta,法律相談ポータル,,,上場企業
マナラ化粧品,https://manara.jp/,Meta,化粧品通販（D2C）,,,ランクアップ運営
クラブツーリズム,https://www.club-t.com/,Meta,旅行（シニア向け）,,,近畿日本ツーリスト系
グッドスピード,https://www.goodspeed.ne.jp/buyup/,Meta,SUV中古車・買取,,,
アニコム損保,https://www.anicom-sompo.co.jp/,Meta,ペット保険,,,シェアNo.1
アイペット損保,https://www.ipet-ins.com/,Meta,ペット保険,,,
進研ゼミ小学講座,https://sho.benesse.co.jp/,Meta,通信教育（小学生）,,,ベネッセ系
ユーキャン,https://www.u-can.co.jp/,Meta,通信講座・資格,,,
リクルートエージェント,https://www.r-agent.com/,Meta,転職エージェント,,,業界最大手
公文式,https://www.kumon.ne.jp/,Meta,学習塾,,,世界展開の大手
オルビス,https://www.orbis.co.jp/,Meta,化粧品通販（D2C）,,,POLAグループ系
ハーバー研究所（HABA）,https://www.haba.co.jp/,Meta,化粧品通販（D2C）,,,無添加主義
スタジオマリオ,https://www.studio-mario.jp/,Meta,こども写真館,,,カメラのキタムラ系
総合探偵社MR,https://www.tantei-mr.co.jp/,Meta,探偵事務所,,,累計相談26万件
片付け堂,https://www.katazukedou.com/fc/,Meta,不用品回収・遺品整理（FC）,,,
バトンズ,https://batonz.jp/,Meta,M&A・事業承継,,,国内最大級
Pairs（ペアーズ）,https://www.pairs.lv/,Meta,マッチングアプリ,,,大手アプリ
ハッピーメール,https://happymail.co.jp/,Meta,マッチングアプリ・出会い,,,老舗・25年以上
エルセーヌ,https://www.elleseine.co.jp/,Meta,エステ・痩身サロン,,,
HIS,https://www.his-j.com/,Meta,旅行代理店,,,上場企業
ビズメイツ,https://www.bizmates.jp/,Meta,ビジネス英会話（オンライン）,,,
ベルメゾン,https://www.bellemaison.jp/,Meta,ファッション通販,,,登録会員1500万人
DMM WEBCAMP,https://web-camp.io/,Meta,プログラミングスクール,,,
チュチュアンナ,https://online.tutuanna.jp/shop/,Meta,下着・靴下通販,,,全国250店舗超
ソニー生命,https://www.sonylife.co.jp/,Meta,生命保険,,,大手生保
プロタイムズ,https://protimes.jp/,Meta,外壁塗装FC,,,グッドデザイン賞受賞
ゴリラクリニック,https://gorillaclinic.com/,Meta,メンズ医療脱毛クリニック,,,男性特化・大手
マイナビエージェント,https://mynavi-agent.jp/,Meta,転職エージェント,,,マイナビ系
エン転職,https://employment.en-japan.com/,Meta,転職サイト,,,エン・ジャパン運営
ポーラ,https://www.pola.co.jp/,Meta,化粧品（D2C）,,,上場大手
アデランス,https://www.aderans.co.jp/,Meta,育毛・ウィッグ,,,上場企業
リーブ21,https://www.live21.jp/,Meta,育毛専門クリニック,,,
Makuake,https://www.makuake.com/,Meta,クラウドファンディング,,,上場企業
おそうじ本舗,https://www.osoujihonpo.jp/,Meta,ハウスクリーニング（FC）,,,大手FC
ジョブメドレー,https://job.medley.jp/,Meta,医療・介護職転職,,,上場企業
弁護士法人アディーレ,https://www.adire.jp/,Meta,法律事務所（債務整理等）,,,
こどもちゃれんじ,https://kodomo-challenge.jp/,Meta,幼児向け通信教育,,,ベネッセ系
ゼロリノベ,https://zerorenovation.co.jp/,Meta,リノベーション,,,
ライザップクック,https://cook.rizap.jp/,Meta,料理教室（オンライン）,,,RIZAP系
学研教室,https://gakken-class.jp/,Meta,学習塾,,,
HOME4U,https://www.home4u.jp/sell/,Meta,不動産一括査定,,,NTTデータ系
ダスキン,https://www.duskin.jp/,Meta,清掃・家事代行,,,大手FC
カイゴジョブ,https://kaigojob.com/,Meta,介護職専門転職,,,
みんなの介護,https://www.minnanokaigo.com/,Meta,介護施設検索,,,クーリエ運営
タスカジ,https://taskaji.jp/,Meta,家事代行マッチング,,,
アートネイチャー,https://www.artnature.co.jp/,Meta,育毛・ウィッグ,,,上場企業
