企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
めちゃコミック,https://mechacomic.jp/lp/,Meta,電子書籍・コミック,,,急成長・月額サブスク
comico（コミコ）,https://www.comico.jp/lp/,Meta,縦読みマンガアプリ,,,NHN系・成長中
アポクリーンクリニック,https://aposweat-clinic.jp/lp/,Meta,多汗症・わきが治療クリニック,,,全国展開・特化型
北欧、暮らしの道具店,https://hokuoh.com/lp/,Meta,D2Cライフスタイル雑貨EC,,,急成長D2C
生活の木（TREE OF LIFE）,https://www.treeoflife.co.jp/lp/,Meta,ハーブ・アロマD2C,,,全国展開・中堅
ルートイン,https://www.route-inn.co.jp/lp/,Meta,ビジネスホテルFC,,,全国1400店超・FC展開
スーパーホテル,https://www.superhotel.co.jp/lp/,Meta,ビジネスホテルFC,,,全国160店超・FC展開
ドーミーイン（共立メンテナンス）,https://www.hotespa.net/lp/,Meta,ビジネスホテルFC,,,全国展開・温泉付き特化
コンフォートホテル,https://www.choice-hotels.jp/lp/,Meta,ビジネスホテルFC,,,チョイスホテルズ系・全国
Nature（ネイチャーリモ）,https://nature.global/lp/,Meta,スマートリモコンD2C,,,急成長スタートアップ・上場
SwitchBot（スイッチボット）,https://www.switchbot.jp/lp/,Meta,スマートホームD2C,,,急成長D2C
Anker Japan（アンカー）,https://www.ankerjapan.com/lp/,Meta,モバイルバッテリー・充電器D2C,,,急成長D2Cブランド
ハンズ（旧東急ハンズ）,https://hands.net/lp/,Meta,バラエティEC,,,上場・EC強化中
Creema（クリーマ）,https://www.creema.jp/lp/,Meta,ハンドメイドECマーケット,,,上場・急成長
minne（ミンネ）,https://minne.com/lp/,Meta,ハンドメイドECマーケット,,,GMO系・成長中
ウエディングパーク,https://www.weddingpark.net/lp/,Meta,ブライダル情報・口コミ,,,上場・成長中
ミュージックプラネット,https://music-planet.jp/lp/,Meta,歌手デビューサポート,,,急成長・オーディション特化
おそうじ革命,https://osouji-kakumei.com/lp/,Meta,ハウスクリーニングFC,,,全国展開・急成長FC
RESTA（リスタ）,https://resta.jp/lp/,Meta,DIY床材・リフォームEC,,,急成長D2C
CSP（セントラル警備保障）,https://www.csp.co.jp/lp/,Meta,ホームセキュリティ（FC）,,,上場・全国FC展開
ライフィ,https://lifecompass.jp/lp/,Meta,保険比較マッチング,,,成長中フィンテック
ピクスタ（photoAC）,https://www.ac-illust.com/lp/,Meta,写真・素材ダウンロードEC,,,上場・急成長
アイシティ,https://www.eyecity.jp/lp/,Meta,コンタクトレンズFC,,,HAOYAグループ・全国
めがねのJINS（オンライン）,https://www.jins.com/lp/,Meta,メガネECD2C,,,上場・D2C強化中
Zoff（ゾフ）,https://www.zoff.co.jp/lp/,Meta,メガネEC,,,上場・全国展開
遺品整理プロ,https://isan-pro.com/lp/,Meta,遺品整理・生前整理FC,,,全国展開・成長中FC
ミニクラ,https://minikura.com/lp/,Meta,収納・トランクルームD2C,,,寺田倉庫グループ・成長中
