企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
広済堂ネクスト株式会社,https://kosaido-next.co.jp/lp/,Meta,葬儀FC,,,全国展開・成長中FC
株式会社日本セレモニー,https://www.nihon-ceremony.co.jp/lp/,Meta,葬儀FC,,,中国・関西中心FC
株式会社ケア21,https://www.care21.co.jp/lp/,Meta,訪問介護・在宅介護FC,,,上場・全国展開FC
株式会社アースサポート,https://www.earth-support.co.jp/lp/,Meta,訪問介護・ホームヘルパーFC,,,全国展開・成長中
株式会社ネットオフ,https://www.netoff.co.jp/lp/,Meta,本・CD・ゲーム買取EC,,,全国展開・成長中
株式会社マーケットエンタープライズ,https://www.marketenterprise.co.jp/lp/,Meta,リユース品買取・販売EC,,,上場・急成長
株式会社リクルートマーケティングパートナーズ（ゼクシィ縁結びエージェント）,https://zexy-enmusubi.net/lp/,Meta,婚活・結婚相談所FC,,,リクルート系・成長中
弁護士法人響,https://hibiki-law.com/lp/,Meta,過払い金・借金整理（全国対応）,,,成長中・デジタルマーケ強み
司法書士法人杉山事務所,https://www.sugi-sogo.jp/lp/,Meta,過払い金・借金整理特化,,,全国対応・成長中
株式会社メニコン,https://www.menicon.co.jp/lp/,Meta,コンタクトレンズ・ケア用品通販,,,上場・全国展開
株式会社オリエントコーポレーション（Oricoカード）,https://www.orico.co.jp/lp/,Meta,クレジットカード・消費者ローン,,,上場・全国展開
株式会社ドギーマンハヤシ,https://www.doggyman.com/lp/,Meta,ペット用品EC（国産大手）,,,全国展開・中堅
株式会社ペットライン,https://www.petline.co.jp/lp/,Meta,ペットフード・ケア用品D2C,,,全国展開・中堅
株式会社オプテージ（eo光）,https://eonet.jp/lp/,Meta,近畿・光インターネット,,,関西中心・KDDI系
株式会社DHC,https://www.dhc.co.jp/lp/,Meta,サプリ・スキンケア通販D2C,,,全国展開・中堅
株式会社ゼロ・コーポレーション（ゼロリノベ）,https://www.zero-renovation.jp/lp/,Meta,リノベーション一体型不動産,,,成長中・首都圏
株式会社ペイロール,https://www.payroll.co.jp/lp/,Meta,給与前払い・福利厚生サービス,,,成長中HRTech
