企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
パルシステム,https://info.pal-system.co.jp/entry/dividerequest.do?fd=d&sdiv=bs,Meta,有機食品宅配（生協）,,,東京中心・生協系中堅
さとふる,https://www.satofull.jp/static/lp/advertisement/cv/,Meta,ふるさと納税ポータル,,,ソフトバンク系・上場
ふるさとチョイス,https://www.furusato-tax.jp/lp/debut/,Meta,ふるさと納税ポータル,,,業界最大級・トラストバンク運営
DUO（プレミアアンチエイジング）,https://lp.p-antiaging.com/,Meta,スキンケア通販D2C,,,ダブル洗顔不要・急成長D2C
ハーブ健康本舗,https://www.sukkiri-life.com/lp/bmori-pla/s100/,Meta,健康食品通販D2C,,,モリモリスリムシリーズ・中堅
DMMオンラインクリニック,https://clinic.dmm.com/lp2/aga_ouchi/,Meta,オンライン診療（AGA）,,,DMMグループ・急成長
コスモウォーター,https://www.cosmowater.com/lp/universal09_e/,Meta,ウォーターサーバー,,,天然水特化・中堅
LOWYA（ロウヤ）,https://www.low-ya.com/lp/about2403,Meta,家具・インテリアEC（D2C）,,,急成長D2C・全国展開
BASE FOOD,https://shop.basefood.co.jp/lp/form,Meta,完全栄養食D2C（パン・麺）,,,上場・急成長D2C
レジーナクリニック,https://reginaclinic.jp/lp/21a/,Meta,医療脱毛クリニック,,,全国50院・急成長
RUNTEQ,https://runteq.jp/lp_01/,Meta,Webエンジニア養成スクール,,,現役エンジニア講師・成長中
侍エンジニア,https://lp.sejuku.net/lp1/,Meta,プログラミングスクール（マンツーマン）,,,転職支援付き・中規模
ディオクリニック,https://dioclinic.jp/lp8/,Meta,医療脱毛クリニック,,,全国60院超・成長中
BODY ARCHI,https://s.bodyarchi.com/lp/gl_202202/,Meta,女性向けパーソナルジム（FC）,,,RIZAP系・全国展開
テックアカデミー,https://techacademy.jp/briefing/lp-s/programming,Meta,オンラインプログラミングスクール,,,キラメックス運営・業界大手
RaiseTech,https://raise-tech.net/courses-lp/java-full-course,Meta,プログラミングスクール（現役エンジニア講師）,,,転職保証付き・成長中
坂ノ途中,https://cart.on-the-slope.com/lp/vegetable-box,Meta,有機野菜宅配D2C,,,サステナブル農業・急成長
ECCジュニア,https://www.eccjr.co.jp/lp/online/,Meta,子ども向け英会話（FC）,,,全国800教室超・ECC系
セントラルスポーツ,https://www.central.co.jp/lp/2025_03_cp1/,Meta,フィットネスクラブ,,,上場・全国130施設超
YOLU（ヨル）,https://yolu.jp/lp/yol001/,Meta,ナイトケアヘアケアD2C,,,I-ne運営・急成長D2C
ランドネット,https://landnet.co.jp/lp/interview/,Meta,不動産投資（マンション）,,,上場・中古区分マンション特化
NURO光,https://www.nuro.jp/hikari/,Meta,光インターネット（高速）,,,ソニーグループ・首都圏中心
QUREOプログラミング教室,https://qureo.jp/class/trial,Meta,子どもプログラミング教室FC,,,サイバーエージェント系・全国展開
READYFOR,https://readyfor.jp/proposals/lp/,Meta,クラウドファンディング,,,国内最大級・上場
ジョイフィット,https://joyfit.jp/campaign-lp/lite_aka_lp/,Meta,フィットネスジム（FC）,,,全国270店超・24時間型
WealthNavi,https://www.wealthnavi.com/lp/039,Meta,ロボアドバイザー（資産運用）,,,上場・預かり資産1兆円超
ボイスマルシェ,https://www.voicemarche.jp/lp/201606a/index.html,Meta,電話カウンセリングマッチング,,,成長中・ニッチ特化
Geekly（ギークリー）,https://www.geekly.co.jp/lp/lp10/,Meta,IT転職エージェント,,,IT特化・中規模
ミライコイングリッシュ,https://miraico-english.com/lp/,Meta,子ども向けオンライン英会話,,,DVD・アプリ型・急成長D2C
ワークポート,https://www.workport.co.jp/lp_wp/,Meta,IT・転職エージェント,,,上場・全国展開
レバウェル看護,https://levwell.jp/profession/ns/,Meta,看護師転職支援,,,レバレジーズ運営・急成長
クレアール,https://www.crear-ac.co.jp/fp/lp/fp-crear/,Meta,通信資格講座（FP・簿記等）,,,非常識合格法・中堅
ティップネス,https://online.tipness.co.jp/lp/index.html,Meta,オンラインフィットネス,,,LEOC運営・首都圏中心
chocoZAP（チョコザップ）,https://lp.chocozap.jp/beginneradmn-01/,Meta,コンビニジム（FC）,,,RIZAP系・全国1800店超
フレシャス,https://www.frecious.jp/lp/slatcafe/coffee/02/,Meta,ウォーターサーバー（天然水）,,,デザイン特化・中堅
マイナビ看護師,https://kango.mynavi.jp/lp/028.html,Meta,看護師転職支援,,,マイナビ系・大手
ZENB（ゼンブ）,https://zenb.jp/blogs/lp/zenbnoodle001,Meta,豆100%食品D2C（ヌードル・パン）,,,マルコメ運営・急成長D2C
マイプロテイン,https://www.myprotein.jp/c/jpedition/jpedition-lp/,Meta,プロテイン通販（英国発D2C）,,,全世界展開・日本でも急成長
TENTIAL（テンシャル）,https://lp.tential.jp/,Meta,スポーツウェルネスD2C（インソール等）,,,成長中D2Cブランド
スマルナ,https://smaluna.com/lp/app3-4/,Meta,オンライン診療（ピル・避妊）,,,ネクイノ運営・急成長
土屋鞄製造所,https://tsuchiya-kaban.jp/pages/lp20221015,Meta,革製品・バッグD2C（ランドセル含む）,,,職人製造・EC強化中
